player_lower,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,Player,Team,Role,YR,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,DunkAtt,Dunk_Freq,Dunk_FG%,First_Season,Last_Season
donovan oday,18,8,7,2,3,1,9,11,8,2,0,2,Donovan Oday,Northern Kentucky,G,Sr,16,8,24,0.6666666666666666,0.3125,26,0.6923076923076923,0.3888888888888889,5,0.4,0.5,31,0.6451612903225806,0.4,20,0.45,0.8888888888888888,0.5517241379310345,51,0.5098039215686274,0.09803921568627451,0.39215686274509803,0.6078431372549019,2,0.0392156862745098,1.0,2026,2026
donovan rakotonanahary,9,0,5,0,0,0,0,0,0,4,0,3,Donovan Rakotonanahary,Northern Kentucky,C,So,5,0,5,1.0,0.4,9,1.0,0.5555555555555556,0,,,9,1.0,0.5555555555555556,0,,,0.5555555555555556,9,1.0,0.0,0.0,1.0,4,0.4444444444444444,1.0,2026,2026
donovan rivers,17,7,10,2,4,0,0,0,0,2,0,2,Donovan Rivers,Jacksonville,C,Jr,15,7,22,0.6818181818181818,0.5333333333333333,24,0.7083333333333334,0.5882352941176471,6,0.3333333333333333,0.0,30,0.6333333333333333,0.5263157894736842,0,,,0.5263157894736842,30,0.8,0.2,0.0,1.0,2,0.06666666666666667,1.0,2026,2026
dontae horne,5,6,2,11,13,0,2,9,2,0,0,0,Dontae Horne,Prairie View A&M,G,Sr,5,6,11,0.45454545454545453,0.4,11,0.45454545454545453,0.4,24,0.4583333333333333,0.0,35,0.45714285714285713,0.125,11,0.18181818181818182,1.0,0.2222222222222222,46,0.2391304347826087,0.5217391304347826,0.2391304347826087,0.7608695652173914,0,0.0,,2026,2026
dontrez williams,13,18,7,1,3,0,4,7,3,2,1,2,Dontrez Williams,Lindenwood,G,So,11,17,28,0.39285714285714285,0.45454545454545453,31,0.41935483870967744,0.5384615384615384,4,0.25,0.0,35,0.4,0.5,11,0.36363636363636365,0.75,0.5555555555555556,46,0.6739130434782609,0.08695652173913043,0.2391304347826087,0.7608695652173914,3,0.06521739130434782,0.6666666666666666,2026,2026
dovydas butka,26,18,12,4,6,2,3,5,3,2,0,1,Dovydas Butka,Campbell,F,So,24,18,42,0.5714285714285714,0.4583333333333333,44,0.5909090909090909,0.46153846153846156,10,0.4,0.5,54,0.5555555555555556,0.4666666666666667,8,0.375,1.0,0.5151515151515151,62,0.7096774193548387,0.16129032258064516,0.12903225806451613,0.8709677419354839,2,0.03225806451612903,1.0,2026,2026
doyel cockrill iii,0,1,0,2,4,0,11,10,7,0,0,0,Doyel Cockrill III,Chicago St.,G,Jr,0,1,1,0.0,,1,0.0,,6,0.3333333333333333,0.0,7,0.2857142857142857,0.0,21,0.5238095238095238,0.6363636363636364,0.5384615384615384,28,0.03571428571428571,0.21428571428571427,0.75,0.25,0,0.0,,2026,2026
dra gibbs-lawhorn,21,15,9,13,13,3,14,38,12,3,0,3,Dra Gibbs-Lawhorn,UNLV,G,Jr,18,15,33,0.5454545454545454,0.3333333333333333,36,0.5833333333333334,0.42857142857142855,26,0.5,0.23076923076923078,62,0.5483870967741935,0.35294117647058826,52,0.2692307692307692,0.8571428571428571,0.5,114,0.3157894736842105,0.22807017543859648,0.45614035087719296,0.543859649122807,3,0.02631578947368421,1.0,2026,2026
dragos lungu,18,7,7,3,3,1,3,7,3,2,0,1,Dragos Lungu,Tennessee Martin,G,So,16,7,23,0.6956521739130435,0.375,25,0.72,0.3888888888888889,6,0.5,0.3333333333333333,31,0.6774193548387096,0.38095238095238093,10,0.3,1.0,0.4583333333333333,41,0.6097560975609756,0.14634146341463414,0.24390243902439024,0.7560975609756098,2,0.04878048780487805,1.0,2026,2026
drake allen,6,2,1,0,1,0,2,4,1,2,1,1,Drake Allen,Utah St.,G,Sr,4,1,5,0.8,0.0,8,0.75,0.16666666666666666,1,0.0,,9,0.6666666666666666,0.16666666666666666,6,0.3333333333333333,0.5,0.25,15,0.5333333333333333,0.06666666666666667,0.4,0.6,3,0.2,0.6666666666666666,2026,2026
drayton jones,15,8,11,2,2,0,0,0,0,8,1,7,Drayton Jones,Butler,C,Jr,7,7,14,0.5,0.5714285714285714,23,0.6521739130434783,0.7333333333333333,4,0.5,0.0,27,0.6296296296296297,0.6470588235294118,0,,,0.6470588235294118,27,0.8518518518518519,0.14814814814814814,0.0,1.0,9,0.3333333333333333,0.8888888888888888,2026,2026
dre bullock,16,11,1,1,3,0,6,20,4,6,2,1,Dre Bullock,Hawaii,G,Sr,10,9,19,0.5263157894736842,0.0,27,0.5925925925925926,0.0625,4,0.25,0.0,31,0.5483870967741935,0.058823529411764705,26,0.23076923076923078,0.6666666666666666,0.21739130434782608,57,0.47368421052631576,0.07017543859649122,0.45614035087719296,0.543859649122807,8,0.14035087719298245,0.75,2026,2026
dre kindell,14,6,0,6,11,0,3,8,2,0,0,0,Dre Kindell,Wichita St.,G,Jr,14,6,20,0.7,0.0,20,0.7,0.0,17,0.35294117647058826,0.0,37,0.5405405405405406,0.0,11,0.2727272727272727,0.6666666666666666,0.08695652173913043,48,0.4166666666666667,0.3541666666666667,0.22916666666666666,0.7708333333333334,0,0.0,,2026,2026
drew fielder,14,8,6,5,10,0,2,8,2,4,0,3,Drew Fielder,Boise St.,F,Jr,10,8,18,0.5555555555555556,0.3,22,0.6363636363636364,0.42857142857142855,15,0.3333333333333333,0.0,37,0.5135135135135135,0.3157894736842105,10,0.2,1.0,0.38095238095238093,47,0.46808510638297873,0.3191489361702128,0.2127659574468085,0.7872340425531915,4,0.0851063829787234,1.0,2026,2026
drew mckenna,10,0,2,4,9,0,3,6,3,1,0,1,Drew McKenna,Old Dominion,F,So,9,0,9,1.0,0.1111111111111111,10,1.0,0.2,13,0.3076923076923077,0.0,23,0.6086956521739131,0.14285714285714285,9,0.3333333333333333,1.0,0.29411764705882354,32,0.3125,0.40625,0.28125,0.71875,1,0.03125,1.0,2026,2026
drew scharnowski,23,6,14,0,3,0,0,1,0,9,3,7,Drew Scharnowski,Belmont,C,So,14,3,17,0.8235294117647058,0.5,29,0.7931034482758621,0.6086956521739131,3,0.0,,32,0.71875,0.6086956521739131,1,0.0,,0.6086956521739131,33,0.8787878787878788,0.09090909090909091,0.030303030303030304,0.9696969696969697,12,0.36363636363636365,0.75,2026,2026
dug mcdaniel,11,11,3,9,20,3,10,17,7,0,0,0,Dug McDaniel,Memphis,G,Sr,11,11,22,0.5,0.2727272727272727,22,0.5,0.2727272727272727,29,0.3103448275862069,0.3333333333333333,51,0.39215686274509803,0.3,27,0.37037037037037035,0.7,0.43333333333333335,78,0.28205128205128205,0.3717948717948718,0.34615384615384615,0.6538461538461539,0,0.0,,2026,2026
duke brennan,22,12,13,0,4,0,0,0,0,5,4,4,Duke Brennan,Villanova,C,Sr,17,8,25,0.68,0.5294117647058824,34,0.6470588235294118,0.5909090909090909,4,0.0,,38,0.5789473684210527,0.5909090909090909,0,,,0.5909090909090909,38,0.8947368421052632,0.10526315789473684,0.0,1.0,9,0.23684210526315788,0.5555555555555556,2026,2026
duke miles,19,5,3,8,13,0,18,20,12,0,0,0,Duke Miles,Vanderbilt,G,Sr,19,5,24,0.7916666666666666,0.15789473684210525,24,0.7916666666666666,0.15789473684210525,21,0.38095238095238093,0.0,45,0.6,0.1111111111111111,38,0.47368421052631576,0.6666666666666666,0.3333333333333333,83,0.2891566265060241,0.25301204819277107,0.4578313253012048,0.5421686746987951,0,0.0,,2026,2026
dwayne aristode,4,2,1,0,1,0,11,10,11,0,0,0,Dwayne Aristode,Arizona,F,Fr,4,2,6,0.6666666666666666,0.25,6,0.6666666666666666,0.25,1,0.0,,7,0.5714285714285714,0.25,21,0.5238095238095238,1.0,0.8,28,0.21428571428571427,0.03571428571428571,0.75,0.25,0,0.0,,2026,2026
dwayne koroma,7,5,6,0,1,0,0,0,0,1,0,1,Dwayne Koroma,Connecticut,F,Sr,6,5,11,0.5454545454545454,0.8333333333333334,12,0.5833333333333334,0.8571428571428571,1,0.0,,13,0.5384615384615384,0.8571428571428571,0,,,0.8571428571428571,13,0.9230769230769231,0.07692307692307693,0.0,1.0,1,0.07692307692307693,1.0,2026,2026
dylan anderson,6,1,3,1,1,1,3,5,3,4,0,3,Dylan Anderson,Murray St.,F,Jr,2,1,3,0.6666666666666666,0.0,7,0.8571428571428571,0.5,2,0.5,1.0,9,0.7777777777777778,0.5714285714285714,8,0.375,1.0,0.7,17,0.4117647058823529,0.11764705882352941,0.47058823529411764,0.5294117647058824,4,0.23529411764705882,1.0,2026,2026
dylan andrews,8,4,1,4,11,0,9,18,5,0,0,0,Dylan Andrews,Boise St.,G,Sr,8,4,12,0.6666666666666666,0.125,12,0.6666666666666666,0.125,15,0.26666666666666666,0.0,27,0.4444444444444444,0.08333333333333333,27,0.3333333333333333,0.5555555555555556,0.2857142857142857,54,0.2222222222222222,0.2777777777777778,0.5,0.5,0,0.0,,2026,2026
dylan arnett,11,9,6,15,18,7,0,0,0,3,0,2,Dylan Arnett,North Texas,C,Jr,8,9,17,0.47058823529411764,0.5,20,0.55,0.5454545454545454,33,0.45454545454545453,0.4666666666666667,53,0.49056603773584906,0.5,0,,,0.5,53,0.37735849056603776,0.6226415094339622,0.0,1.0,3,0.05660377358490566,1.0,2026,2026
dylan darling,6,3,2,2,1,0,1,12,1,0,0,0,Dylan Darling,St. John's,G,Jr,6,3,9,0.6666666666666666,0.3333333333333333,9,0.6666666666666666,0.3333333333333333,3,0.6666666666666666,0.0,12,0.6666666666666666,0.25,13,0.07692307692307693,1.0,0.3333333333333333,25,0.36,0.12,0.52,0.48,0,0.0,,2026,2026
dylan faulkner,39,27,22,5,9,2,0,1,0,9,3,7,Dylan Faulkner,Samford,C,Jr,30,24,54,0.5555555555555556,0.5,66,0.5909090909090909,0.5641025641025641,14,0.35714285714285715,0.4,80,0.55,0.5454545454545454,1,0.0,,0.5454545454545454,81,0.8148148148148148,0.1728395061728395,0.012345679012345678,0.9876543209876543,12,0.14814814814814814,0.75,2026,2026
dylan grant,24,17,10,9,11,2,8,10,8,7,0,5,Dylan Grant,Rutgers,F,So,17,17,34,0.5,0.29411764705882354,41,0.5853658536585366,0.4166666666666667,20,0.45,0.2222222222222222,61,0.5409836065573771,0.36363636363636365,18,0.4444444444444444,1.0,0.4878048780487805,79,0.5189873417721519,0.25316455696202533,0.22784810126582278,0.7721518987341772,7,0.08860759493670886,1.0,2026,2026
dylan james,11,3,4,8,9,0,0,7,0,4,2,3,Dylan James,Georgia,F,Jr,7,1,8,0.875,0.14285714285714285,14,0.7857142857142857,0.36363636363636365,17,0.47058823529411764,0.0,31,0.6129032258064516,0.21052631578947367,7,0.0,,0.21052631578947367,38,0.3684210526315789,0.4473684210526316,0.18421052631578946,0.8157894736842105,6,0.15789473684210525,0.6666666666666666,2026,2026
dylan williamson,7,6,2,12,14,0,20,38,9,0,0,0,Dylan Williamson,Towson,G,Sr,7,6,13,0.5384615384615384,0.2857142857142857,13,0.5384615384615384,0.2857142857142857,26,0.46153846153846156,0.0,39,0.48717948717948717,0.10526315789473684,58,0.3448275862068966,0.45,0.28205128205128205,97,0.13402061855670103,0.26804123711340205,0.5979381443298969,0.4020618556701031,0,0.0,,2026,2026
ebuka okorie,28,16,1,9,10,1,10,21,9,0,0,0,Ebuka Okorie,Stanford,G,Fr,28,16,44,0.6363636363636364,0.03571428571428571,44,0.6363636363636364,0.03571428571428571,19,0.47368421052631576,0.1111111111111111,63,0.5873015873015873,0.05405405405405406,31,0.3225806451612903,0.9,0.23404255319148937,94,0.46808510638297873,0.20212765957446807,0.32978723404255317,0.6702127659574468,0,0.0,,2026,2026
eddie placer,3,2,0,3,5,0,13,14,13,0,0,0,Eddie Placer,Wagner,G,Jr,3,2,5,0.6,0.0,5,0.6,0.0,8,0.375,0.0,13,0.46153846153846156,0.0,27,0.48148148148148145,1.0,0.6842105263157895,40,0.125,0.2,0.675,0.325,0,0.0,,2026,2026
eddie ricks iii,7,6,4,1,3,0,10,12,10,4,1,3,Eddie Ricks III,James Madison,G,Jr,3,5,8,0.375,0.3333333333333333,13,0.5384615384615384,0.5714285714285714,4,0.25,0.0,17,0.47058823529411764,0.5,22,0.45454545454545453,1.0,0.7777777777777778,39,0.3333333333333333,0.10256410256410256,0.5641025641025641,0.4358974358974359,5,0.1282051282051282,0.8,2026,2026
eduardo klafke,1,1,1,1,4,0,3,6,2,0,0,0,Eduardo Klafke,Mississippi,G,So,1,1,2,0.5,1.0,2,0.5,1.0,5,0.2,0.0,7,0.2857142857142857,0.5,9,0.3333333333333333,0.6666666666666666,0.6,16,0.125,0.3125,0.5625,0.4375,0,0.0,,2026,2026
edwin daniel,7,5,6,2,5,2,0,0,0,2,0,2,Edwin Daniel,La Salle,C,Jr,5,5,10,0.5,0.8,12,0.5833333333333334,0.8571428571428571,7,0.2857142857142857,1.0,19,0.47368421052631576,0.8888888888888888,0,,,0.8888888888888888,19,0.631578947368421,0.3684210526315789,0.0,1.0,2,0.10526315789473684,1.0,2026,2026
edwin suarez jr.,14,16,4,0,3,0,0,1,0,0,0,0,Edwin Suarez Jr.,Weber St.,F,Jr,14,16,30,0.4666666666666667,0.2857142857142857,30,0.4666666666666667,0.2857142857142857,3,0.0,,33,0.42424242424242425,0.2857142857142857,1,0.0,,0.2857142857142857,34,0.8823529411764706,0.08823529411764706,0.029411764705882353,0.9705882352941176,0,0.0,,2026,2026
eemeli yalaho,11,5,6,2,4,0,11,12,11,1,1,1,Eemeli Yalaho,Washington St.,F,Jr,10,4,14,0.7142857142857143,0.5,16,0.6875,0.5454545454545454,6,0.3333333333333333,0.0,22,0.5909090909090909,0.46153846153846156,23,0.4782608695652174,1.0,0.7083333333333334,45,0.35555555555555557,0.13333333333333333,0.5111111111111111,0.4888888888888889,2,0.044444444444444446,0.5,2026,2026
efe demirel,17,8,13,0,5,0,0,0,0,10,2,10,Efe Demirel,Grand Canyon,C,Fr,7,6,13,0.5384615384615384,0.42857142857142855,25,0.68,0.7647058823529411,5,0.0,,30,0.5666666666666667,0.7647058823529411,0,,,0.7647058823529411,30,0.8333333333333334,0.16666666666666666,0.0,1.0,12,0.4,0.8333333333333334,2026,2026
efrem johnson,3,1,1,3,3,0,6,13,5,1,0,0,Efrem Johnson,Clemson,G,Sr,2,1,3,0.6666666666666666,0.5,4,0.75,0.3333333333333333,6,0.5,0.0,10,0.6,0.16666666666666666,19,0.3157894736842105,0.8333333333333334,0.5,29,0.13793103448275862,0.20689655172413793,0.6551724137931034,0.3448275862068966,1,0.034482758620689655,1.0,2026,2026
egan shields,12,2,10,5,3,1,0,0,0,2,0,2,Egan Shields,Northern Colorado,C,Jr,10,2,12,0.8333333333333334,0.8,14,0.8571428571428571,0.8333333333333334,8,0.625,0.2,22,0.7727272727272727,0.6470588235294118,0,,,0.6470588235294118,22,0.6363636363636364,0.36363636363636365,0.0,1.0,2,0.09090909090909091,1.0,2026,2026
ej horton,1,2,0,0,0,0,3,6,3,0,0,0,EJ Horton,North Texas,G,Fr,1,2,3,0.3333333333333333,0.0,3,0.3333333333333333,0.0,0,,,3,0.3333333333333333,0.0,9,0.3333333333333333,1.0,0.75,12,0.25,0.0,0.75,0.25,0,0.0,,2026,2026
eli beard,9,5,2,3,9,1,14,20,14,0,0,0,Eli Beard,Drexel,G,Sr,9,5,14,0.6428571428571429,0.2222222222222222,14,0.6428571428571429,0.2222222222222222,12,0.25,0.3333333333333333,26,0.46153846153846156,0.25,34,0.4117647058823529,1.0,0.6538461538461539,60,0.23333333333333334,0.2,0.5666666666666667,0.43333333333333335,0,0.0,,2026,2026
eli ellis,9,6,1,9,6,1,5,13,4,0,0,0,Eli Ellis,South Carolina,G,Fr,9,6,15,0.6,0.1111111111111111,15,0.6,0.1111111111111111,15,0.6,0.1111111111111111,30,0.6,0.1111111111111111,18,0.2777777777777778,0.8,0.2608695652173913,48,0.3125,0.3125,0.375,0.625,0,0.0,,2026,2026
eli king,18,13,5,7,9,0,5,17,5,1,0,0,Eli King,North Dakota,G,Sr,17,13,30,0.5666666666666667,0.29411764705882354,31,0.5806451612903226,0.2777777777777778,16,0.4375,0.0,47,0.5319148936170213,0.2,22,0.22727272727272727,1.0,0.3333333333333333,69,0.4492753623188406,0.2318840579710145,0.3188405797101449,0.6811594202898551,1,0.014492753623188406,1.0,2026,2026
eli rice,3,2,2,0,2,0,9,12,9,0,0,0,Eli Rice,Penn St.,F,So,3,2,5,0.6,0.6666666666666666,5,0.6,0.6666666666666666,2,0.0,,7,0.42857142857142855,0.6666666666666666,21,0.42857142857142855,1.0,0.9166666666666666,28,0.17857142857142858,0.07142857142857142,0.75,0.25,0,0.0,,2026,2026
eli robinson,24,14,9,5,11,2,6,6,6,3,0,3,Eli Robinson,Air Force,G,So,21,14,35,0.6,0.2857142857142857,38,0.631578947368421,0.375,16,0.3125,0.4,54,0.5370370370370371,0.3793103448275862,12,0.5,1.0,0.4857142857142857,66,0.5757575757575758,0.24242424242424243,0.18181818181818182,0.8181818181818182,3,0.045454545454545456,1.0,2026,2026
eli shetlar,1,1,1,0,0,0,5,14,4,0,0,0,Eli Shetlar,Drake,G,Jr,1,1,2,0.5,1.0,2,0.5,1.0,0,,,2,0.5,1.0,19,0.2631578947368421,0.8,0.8333333333333334,21,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,0,0.0,,2026,2026
elias ralph,9,9,3,12,12,3,8,11,6,3,2,3,Elias Ralph,Pacific,F,Sr,6,7,13,0.46153846153846156,0.0,18,0.5,0.3333333333333333,24,0.5,0.25,42,0.5,0.2857142857142857,19,0.42105263157894735,0.75,0.41379310344827586,61,0.29508196721311475,0.39344262295081966,0.3114754098360656,0.6885245901639344,5,0.08196721311475409,0.6,2026,2026
elijah crawford,2,0,1,2,1,0,1,3,1,1,0,1,Elijah Crawford,Illinois Chicago,G,So,1,0,1,1.0,0.0,2,1.0,0.5,3,0.6666666666666666,0.0,5,0.8,0.25,4,0.25,1.0,0.4,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,1,0.1111111111111111,1.0,2026,2026
elijah elliott,4,7,1,5,13,0,7,17,5,0,0,0,Elijah Elliott,New Mexico St.,G,Sr,4,7,11,0.36363636363636365,0.25,11,0.36363636363636365,0.25,18,0.2777777777777778,0.0,29,0.3103448275862069,0.1111111111111111,24,0.2916666666666667,0.7142857142857143,0.375,53,0.20754716981132076,0.33962264150943394,0.4528301886792453,0.5471698113207547,0,0.0,,2026,2026
elijah fisher,17,14,6,6,7,1,3,10,3,1,0,1,Elijah Fisher,Seton Hall,G,Jr,16,14,30,0.5333333333333333,0.3125,31,0.5483870967741935,0.35294117647058826,13,0.46153846153846156,0.16666666666666666,44,0.5227272727272727,0.30434782608695654,13,0.23076923076923078,1.0,0.38461538461538464,57,0.543859649122807,0.22807017543859648,0.22807017543859648,0.7719298245614035,1,0.017543859649122806,1.0,2026,2026
elijah jamison,12,17,1,10,10,0,5,10,3,0,0,0,Elijah Jamison,Norfolk St.,G,Sr,12,17,29,0.41379310344827586,0.08333333333333333,29,0.41379310344827586,0.08333333333333333,20,0.5,0.0,49,0.4489795918367347,0.045454545454545456,15,0.3333333333333333,0.6,0.14814814814814814,64,0.453125,0.3125,0.234375,0.765625,0,0.0,,2026,2026
elijah jones,24,5,16,6,8,3,8,12,7,6,0,6,Elijah Jones,UTEP,F,Jr,18,5,23,0.782608695652174,0.5555555555555556,29,0.8275862068965517,0.6666666666666666,14,0.42857142857142855,0.5,43,0.6976744186046512,0.6333333333333333,20,0.4,0.875,0.6842105263157895,63,0.4603174603174603,0.2222222222222222,0.31746031746031744,0.6825396825396826,6,0.09523809523809523,1.0,2026,2026
elijah jones,24,5,16,6,8,3,8,12,7,6,0,6,Elijah Jones,UTEP,G,Sr,18,5,23,0.782608695652174,0.5555555555555556,29,0.8275862068965517,0.6666666666666666,14,0.42857142857142855,0.5,43,0.6976744186046512,0.6333333333333333,20,0.4,0.875,0.6842105263157895,63,0.4603174603174603,0.2222222222222222,0.31746031746031744,0.6825396825396826,6,0.09523809523809523,1.0,2026,2026
elijah lewis,12,5,4,5,10,0,2,6,2,2,0,1,Elijah Lewis,Marist,G,Sr,10,5,15,0.6666666666666666,0.3,17,0.7058823529411765,0.3333333333333333,15,0.3333333333333333,0.0,32,0.53125,0.23529411764705882,8,0.25,1.0,0.3157894736842105,40,0.425,0.375,0.2,0.8,2,0.05,1.0,2026,2026
elijah mahi,18,13,3,5,9,0,7,14,3,0,0,0,Elijah Mahi,Santa Clara,G,Sr,18,13,31,0.5806451612903226,0.16666666666666666,31,0.5806451612903226,0.16666666666666666,14,0.35714285714285715,0.0,45,0.5111111111111111,0.13043478260869565,21,0.3333333333333333,0.42857142857142855,0.2,66,0.4696969696969697,0.21212121212121213,0.3181818181818182,0.6818181818181818,0,0.0,,2026,2026
elijah malone,15,9,11,3,1,1,3,1,3,1,0,1,Elijah Malone,Colorado,F,Sr,14,9,23,0.6086956521739131,0.7142857142857143,24,0.625,0.7333333333333333,4,0.75,0.3333333333333333,28,0.6428571428571429,0.6666666666666666,4,0.75,1.0,0.7142857142857143,32,0.75,0.125,0.125,0.875,1,0.03125,1.0,2026,2026
elijah parker,4,3,0,0,0,0,2,4,2,0,0,0,Elijah Parker,Central Connecticut,G,Fr,4,3,7,0.5714285714285714,0.0,7,0.5714285714285714,0.0,0,,,7,0.5714285714285714,0.0,6,0.3333333333333333,1.0,0.3333333333333333,13,0.5384615384615384,0.0,0.46153846153846156,0.5384615384615384,0,0.0,,2026,2026
elijah perryman,6,6,2,1,0,0,2,5,2,2,0,1,Elijah Perryman,Utah St.,G,Fr,4,6,10,0.4,0.25,12,0.5,0.3333333333333333,1,1.0,0.0,13,0.5384615384615384,0.2857142857142857,7,0.2857142857142857,1.0,0.4444444444444444,20,0.6,0.05,0.35,0.65,2,0.1,1.0,2026,2026
elijah price,19,22,4,2,6,0,3,6,3,1,0,0,Elijah Price,Nevada,F,So,18,22,40,0.45,0.2222222222222222,41,0.4634146341463415,0.21052631578947367,8,0.25,0.0,49,0.42857142857142855,0.19047619047619047,9,0.3333333333333333,1.0,0.2916666666666667,58,0.7068965517241379,0.13793103448275862,0.15517241379310345,0.8448275862068966,1,0.017241379310344827,1.0,2026,2026
elliot cadeau,6,6,2,2,4,1,10,17,6,0,0,0,Elliot Cadeau,Michigan,G,So,6,6,12,0.5,0.3333333333333333,12,0.5,0.3333333333333333,6,0.3333333333333333,0.5,18,0.4444444444444444,0.375,27,0.37037037037037035,0.6,0.5,45,0.26666666666666666,0.13333333333333333,0.6,0.4,0,0.0,,2026,2026
elmarko jackson,4,2,1,2,9,0,4,7,3,1,0,1,Elmarko Jackson,Kansas,G,Jr,3,2,5,0.6,0.0,6,0.6666666666666666,0.25,11,0.18181818181818182,0.0,17,0.35294117647058826,0.16666666666666666,11,0.36363636363636365,0.75,0.4,28,0.21428571428571427,0.39285714285714285,0.39285714285714285,0.6071428571428571,1,0.03571428571428571,1.0,2026,2026
elyjah freeman,18,8,4,2,6,0,5,12,4,6,0,4,Elyjah Freeman,Auburn,F,So,12,8,20,0.6,0.0,26,0.6923076923076923,0.2222222222222222,8,0.25,0.0,34,0.5882352941176471,0.2,17,0.29411764705882354,0.8,0.32,51,0.5098039215686274,0.1568627450980392,0.3333333333333333,0.6666666666666666,6,0.11764705882352941,1.0,2026,2026
elzie harrington,5,4,2,9,10,3,10,1,5,2,1,1,Elzie Harrington,San Diego St.,G,Fr,3,3,6,0.5,0.3333333333333333,9,0.5555555555555556,0.4,19,0.47368421052631576,0.3333333333333333,28,0.5,0.35714285714285715,11,0.9090909090909091,0.5,0.4166666666666667,39,0.23076923076923078,0.48717948717948717,0.28205128205128205,0.717948717948718,3,0.07692307692307693,0.6666666666666666,2026,2026
emanuel prospere ii,14,8,2,3,3,2,3,7,3,0,0,0,Emanuel Prospere II,UC San Diego,G,Sr,14,8,22,0.6363636363636364,0.14285714285714285,22,0.6363636363636364,0.14285714285714285,6,0.5,0.6666666666666666,28,0.6071428571428571,0.23529411764705882,10,0.3,1.0,0.35,38,0.5789473684210527,0.15789473684210525,0.2631578947368421,0.7368421052631579,0,0.0,,2026,2026
emanuel sharp,10,8,3,9,14,2,22,38,22,2,0,0,Emanuel Sharp,Houston,G,Sr,8,8,16,0.5,0.375,18,0.5555555555555556,0.3,23,0.391304347826087,0.2222222222222222,41,0.4634146341463415,0.2631578947368421,60,0.36666666666666664,1.0,0.6585365853658537,101,0.1782178217821782,0.22772277227722773,0.594059405940594,0.40594059405940597,2,0.019801980198019802,1.0,2026,2026
emeka opurum,10,3,9,0,0,0,0,0,0,7,0,7,Emeka Opurum,Auburn,C,So,3,3,6,0.5,0.6666666666666666,13,0.7692307692307693,0.9,0,,,13,0.7692307692307693,0.9,0,,,0.9,13,1.0,0.0,0.0,1.0,7,0.5384615384615384,1.0,2026,2026
emmanuel innocenti,8,1,3,3,3,1,9,11,9,1,0,0,Emmanuel Innocenti,Gonzaga,G,Jr,7,1,8,0.875,0.42857142857142855,9,0.8888888888888888,0.375,6,0.5,0.3333333333333333,15,0.7333333333333333,0.36363636363636365,20,0.45,1.0,0.65,35,0.2571428571428571,0.17142857142857143,0.5714285714285714,0.42857142857142855,1,0.02857142857142857,1.0,2026,2026
emmanuel kanga,4,2,1,0,1,0,0,0,0,0,0,0,Emmanuel Kanga,George Mason,C,Fr,4,2,6,0.6666666666666666,0.25,6,0.6666666666666666,0.25,1,0.0,,7,0.5714285714285714,0.25,0,,,0.25,7,0.8571428571428571,0.14285714285714285,0.0,1.0,0,0.0,,2026,2026
emmanuel ogbole,22,9,13,1,5,1,0,0,0,9,1,5,Emmanuel Ogbole,Rutgers,C,Sr,13,8,21,0.6190476190476191,0.6153846153846154,31,0.7096774193548387,0.5909090909090909,6,0.16666666666666666,1.0,37,0.6216216216216216,0.6086956521739131,0,,,0.6086956521739131,37,0.8378378378378378,0.16216216216216217,0.0,1.0,10,0.2702702702702703,0.9,2026,2026
emmanuel okorafor,19,6,13,4,7,1,0,0,0,5,1,5,Emmanuel Okorafor,Wichita St.,C,Sr,14,5,19,0.7368421052631579,0.5714285714285714,25,0.76,0.6842105263157895,11,0.36363636363636365,0.25,36,0.6388888888888888,0.6086956521739131,0,,,0.6086956521739131,36,0.6944444444444444,0.3055555555555556,0.0,1.0,6,0.16666666666666666,0.8333333333333334,2026,2026
emmanuel ugbo,10,3,5,6,4,2,6,10,5,1,1,1,Emmanuel Ugbo,Washington St.,F,Sr,9,2,11,0.8181818181818182,0.4444444444444444,13,0.7692307692307693,0.5,10,0.6,0.3333333333333333,23,0.6956521739130435,0.4375,16,0.375,0.8333333333333334,0.5454545454545454,39,0.3333333333333333,0.2564102564102564,0.41025641025641024,0.5897435897435898,2,0.05128205128205128,0.5,2026,2026
emmett adair,3,1,2,1,2,0,3,8,3,0,0,0,Emmett Adair,Loyola MD,F,Fr,3,1,4,0.75,0.6666666666666666,4,0.75,0.6666666666666666,3,0.3333333333333333,0.0,7,0.5714285714285714,0.5,11,0.2727272727272727,1.0,0.7142857142857143,18,0.2222222222222222,0.16666666666666666,0.6111111111111112,0.3888888888888889,0,0.0,,2026,2026
