player_lower,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,Player,Team,Role,YR,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,DunkAtt,Dunk_Freq,Dunk_FG%,First_Season,Last_Season
anthony dell'orso,7,4,5,3,6,3,10,16,10,0,0,0,Anthony Dell'Orso,Arizona,G,Sr,7,4,11,0.6363636363636364,0.7142857142857143,11,0.6363636363636364,0.7142857142857143,9,0.3333333333333333,1.0,20,0.5,0.8,26,0.38461538461538464,1.0,0.9,46,0.2391304347826087,0.1956521739130435,0.5652173913043478,0.43478260869565216,0,0.0,,2026,2026
anthony johnson,27,20,9,1,1,1,4,8,4,6,3,2,Anthony Johnson,Arizona St.,G,Sr,21,17,38,0.5526315789473685,0.3333333333333333,47,0.574468085106383,0.3333333333333333,2,0.5,1.0,49,0.5714285714285714,0.35714285714285715,12,0.3333333333333333,1.0,0.4375,61,0.7704918032786885,0.03278688524590164,0.19672131147540983,0.8032786885245902,9,0.14754098360655737,0.6666666666666666,2026,2026
anthony mccomb iii,4,11,0,9,14,2,10,17,10,0,0,0,Anthony McComb III,Norfolk St.,G,Sr,4,11,15,0.26666666666666666,0.0,15,0.26666666666666666,0.0,23,0.391304347826087,0.2222222222222222,38,0.34210526315789475,0.15384615384615385,27,0.37037037037037035,1.0,0.5217391304347826,65,0.23076923076923078,0.35384615384615387,0.4153846153846154,0.5846153846153846,0,0.0,,2026,2026
anthony robinson ii,10,9,2,4,10,1,11,14,7,2,1,0,Anthony Robinson II,Missouri,G,Jr,8,8,16,0.5,0.25,19,0.5263157894736842,0.2,14,0.2857142857142857,0.25,33,0.42424242424242425,0.21428571428571427,25,0.44,0.6363636363636364,0.4,58,0.3275862068965517,0.2413793103448276,0.43103448275862066,0.5689655172413793,3,0.05172413793103448,0.6666666666666666,2026,2026
anthony roy,11,7,2,1,3,0,8,14,6,0,0,0,Anthony Roy,Oklahoma St.,F,Sr,11,7,18,0.6111111111111112,0.18181818181818182,18,0.6111111111111112,0.18181818181818182,4,0.25,0.0,22,0.5454545454545454,0.16666666666666666,22,0.36363636363636365,0.75,0.4,44,0.4090909090909091,0.09090909090909091,0.5,0.5,0,0.0,,2026,2026
anthony wrzeszcz,1,0,0,0,0,0,8,13,7,0,0,0,Anthony Wrzeszcz,New Mexico St.,G,Sr,1,0,1,1.0,0.0,1,1.0,0.0,0,,,1,1.0,0.0,21,0.38095238095238093,0.875,0.7777777777777778,22,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,0,0.0,,2026,2026
antoine lorick iii,7,5,4,1,1,1,3,3,3,3,0,2,Antoine Lorick III,Tennessee St.,F,Jr,4,5,9,0.4444444444444444,0.5,12,0.5833333333333334,0.5714285714285714,2,0.5,1.0,14,0.5714285714285714,0.625,6,0.5,1.0,0.7272727272727273,20,0.6,0.1,0.3,0.7,3,0.15,1.0,2026,2026
anton bonke,26,10,14,2,3,1,4,3,4,12,0,9,Anton Bonke,Charlotte,C,Jr,14,10,24,0.5833333333333334,0.35714285714285715,36,0.7222222222222222,0.5384615384615384,5,0.4,0.5,41,0.6829268292682927,0.5357142857142857,7,0.5714285714285714,1.0,0.59375,48,0.75,0.10416666666666667,0.14583333333333334,0.8541666666666666,12,0.25,1.0,2026,2026
antonio chol,8,3,3,7,8,1,13,25,12,5,0,3,Antonio Chol,New Mexico,F,Jr,3,3,6,0.5,0.0,11,0.7272727272727273,0.375,15,0.4666666666666667,0.14285714285714285,26,0.5769230769230769,0.26666666666666666,38,0.34210526315789475,0.9230769230769231,0.5714285714285714,64,0.171875,0.234375,0.59375,0.40625,5,0.078125,1.0,2026,2026
antwaun massey,19,9,3,1,7,0,0,0,0,5,0,1,Antwaun Massey,Western Illinois,C,Sr,14,9,23,0.6086956521739131,0.14285714285714285,28,0.6785714285714286,0.15789473684210525,8,0.125,0.0,36,0.5555555555555556,0.15,0,,,0.15,36,0.7777777777777778,0.2222222222222222,0.0,1.0,5,0.1388888888888889,1.0,2026,2026
