YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
Sr,6-0,Boopie Miller,SMU,ACC,11,G,85.4,5.6,4,9.1,6.6,2.5,126.1,98.7,25.8,53.3,63.1,2,9.5,31.2,16.4,2.4,0.3,3.4,61.8,2.7,0.5,0.917,0.477,36.8,7,0.42
Jr,6-1,Aden Holloway,Alabama,SEC,8,G,51.8,5.6,3,7.5,8.1,-0.6,133.1,102.8,21.5,60.9,63.9,1.4,7,23,10.6,3.1,0,1.1,17.7,3.2,0.556,0.941,0.553,60.4,13.3,0.431
Sr,6-9,Joshua Jefferson,Iowa St.,B12,11,C,73.1,5.5,4.7,13.2,8.4,4.7,130.3,86.8,27.4,59.4,62.8,7.4,20.3,27.9,14,2.5,3.4,2.6,42.2,3,0.667,0.759,0.58,21.9,4.9,0.429
Fr,6-10,Caleb Wilson,North Carolina,ACC,12,C,75,5.3,5,13.4,8.6,4.8,123.3,84.4,29.6,56.2,60.8,11.7,25.3,17.1,11.5,1.4,4.3,2.6,67.1,3,0.662,0.714,0.576,9.6,2.3,0.286
Fr,6-3,Darius Acuff Jr.,Arkansas,SEC,12,G,81.9,5.3,3.4,8.3,7.7,0.7,124.6,102.7,25.9,57.2,59.7,2.1,8.4,33.7,12.8,3.1,1.4,1.5,30.7,2,0.66,0.725,0.52,38.6,8.9,0.438
Jr,6-3,Dior Johnson,Tarleton St.,WAC,8,G,54.8,5.3,2.2,11.2,10.6,0.6,134.2,107.6,31.1,66.3,71.3,2.6,11.9,23.2,13.5,1.1,0.7,2.8,56.8,2,0.808,0.852,0.608,22.1,5.9,0.571
Jr,6-8,Milan Momcilovic,Iowa St.,B12,11,F,68.8,5.2,4,11.7,9.4,2.3,144.2,91,18.9,70.8,72.3,0,13.8,6.6,7.9,1.5,0,2.6,14.4,2,0.833,0.889,0.574,62.4,14.5,0.526
Jr,6-2,Kory Mincy,George Mason,A10,10,G,87.1,5.1,4,8.3,6.1,2.3,136.8,100.1,20.3,61.8,67.4,2.2,9.9,23.6,12.4,2,0,1.7,33.6,2.5,0.632,0.973,0.52,54.5,10.1,0.467
Fr,6-11,Hannes Steinbach,Washington,B10,8,C,57.2,5.1,4.1,9.9,8.3,1.7,132.3,95.9,23.5,63.8,66,16.4,24,15.6,14,1.3,2.9,1.1,46,3.1,0.65,0.725,0.615,10.3,2,0.556
Sr,6-2,Duke Miles,Vanderbilt,SEC,12,G,73.3,5.1,4.1,11.8,6.8,5,131.1,92.9,23.9,56.5,64,1.3,9,24.9,12.7,2.8,1.6,5.2,61.3,3.5,0.778,0.855,0.588,45.2,8.5,0.357
Sr,6-7,Chad Baker-Mazara,USC,B10,12,F,81.9,5.1,3.8,8.3,6.7,1.5,124.2,99.6,25.9,54.6,62.8,2.8,14.6,17.9,13.5,1.4,4.9,1.3,53,3.4,0.593,0.908,0.541,48.2,10.6,0.367
So,6-3,Bryce Lindsay,Villanova,BE,11,G,71.5,5.1,2.9,8,7.6,0.3,137.3,104,22.4,61,63.8,2.1,5.9,16.5,7.7,3,0,1.3,28.3,2.9,0.636,0.806,0.521,62.2,15.2,0.443
So,6-7,Pryce Sandfort,Nebraska,B10,11,G,76,5,4.1,11.5,8.6,2.9,135.6,93.6,20.7,62.9,64.8,3.2,13.9,16.5,4.1,6,0.8,2.2,14,2,0.853,0.895,0.702,65.4,15.1,0.393
Jr,6-8,Paulius Murauskas,Saint Mary's,WCC,11,F,82.5,5,4.6,7.6,4.6,3,122.4,92.7,26,50.4,59.9,7.2,19.2,14.5,13.7,1.1,1.7,1.4,73.8,3.1,0.625,0.828,0.564,25.4,5.2,0.219
Sr,6-3,Cruz Davis,Hofstra,CAA,11,G,96.2,4.9,3.3,5.4,5.5,0,117,108.5,27.7,56.2,57.9,1.7,6.3,29.9,15.2,1.9,1.4,1.3,21,2.6,0.558,0.718,0.5,34.4,9,0.453
Sr,6-8,Alex Karaban,Connecticut,BE,12,F,82.3,4.9,4.9,9.6,6,3.6,135.1,90.2,16.1,61.4,63.4,7,11.6,10.8,7.4,3.1,3.8,1.8,16.7,3,0.694,0.842,0.587,44.7,7.7,0.431
So,6-5,Nolan Minessale,St. Thomas,Sum,12,G,80.7,4.9,3.1,7.7,6.5,1.2,118.8,105.4,32.6,58.9,63.1,2,13.1,26.9,12.2,2,2.7,2.9,49.7,2.7,0.699,0.77,0.656,28.6,7.4,0.28
Jr,6-9,JT Toppin,Texas Tech,B12,11,C,77.9,4.9,4.4,5.3,4.8,0.5,113.2,95.2,30.5,57.7,56.3,14.6,19.9,11.5,13.4,0.7,4.8,2,34.1,3.7,0.762,0.452,0.615,11.5,3.2,0.19
Jr,6-0,Colby Garland,San Jose St.,MWC,11,G,87.2,4.9,2.4,5.6,5.6,0,119.7,112.7,27.8,56.4,60.5,2.4,11.3,29.5,16.2,1.7,0.3,2.2,31.2,1.9,0.563,0.837,0.543,19.1,4.7,0.433
Sr,6-3,Emanuel Sharp,Houston,B12,12,G,72,4.9,4,12.2,9.3,2.9,131.9,92.4,23.8,58.8,62.5,3.5,8,13.2,8.8,2,1.1,2.4,29.7,3.1,0.679,0.841,0.536,62.2,16,0.413
Sr,6-0,Braden Smith,Purdue,B10,12,G,80.3,4.9,4.5,11.1,7.1,4.1,122.5,92.5,26,50.4,54.1,2.7,11.4,45.7,21.1,3.3,1.2,3.4,34.2,1.6,0.571,0.732,0.414,41.7,7.8,0.42
Jr,7-0,Henri Veesaar,North Carolina,ACC,12,C,77.6,4.9,4.7,11.2,7.2,4,129.5,89.5,21.6,69.3,69.4,7.9,22.3,13.3,14.5,1.2,4.1,0.9,41.8,3.1,0.765,0.667,0.699,23.8,4.5,0.448
Sr,6-9,Tyler Bilodeau,UCLA,B10,10,F,62.2,4.9,3.5,6.7,5.8,0.9,130.4,99.4,22.7,61.4,68,4.7,15.7,7.2,12.2,0.8,1.3,2,47.6,3.9,0.765,0.92,0.582,36.2,7.5,0.447
Sr,6-2,Miles Barnstable,Tulsa,Amer,10,G,72.8,4.9,2.1,6.1,7.4,-1.3,141.5,112.1,17.9,64,68.1,5.6,11.3,12.5,7.7,2.3,1.6,0.8,32.6,2.1,0.643,0.897,0.6,66.3,11.7,0.441
Sr,6-3,Obi Agbim,Baylor,B12,11,G,80.8,4.8,2.6,4.3,4.2,0.1,141.4,109.3,14.1,57.7,60.5,1.9,6.2,16.7,8.7,5.1,0.5,1.7,18.4,2.4,0.714,0.889,0.433,69.4,10.5,0.426
Sr,6-7,Tre White,Kansas,B12,12,F,74.7,4.8,4.4,9.8,6.4,3.4,125,90,22.7,59,67.2,8.1,15.6,15.5,17.5,1.2,1.9,1.2,74.5,3,0.659,0.857,0.6,41.5,6.4,0.385
Fr,6-1,Isaiah Johnson,Colorado,B12,12,G,62.9,4.8,2.1,8.8,8.4,0.4,141.6,108.6,22.2,64,69.8,5.4,6.7,15.6,8.4,2.8,0,2.6,91,2,0.674,0.79,0.623,40.4,6.7,0.444
Fr,6-4,Kingston Flemings,Houston,B12,12,G,73.3,4.8,4.7,13.9,7.8,6.1,130.5,87,23.4,65.1,67.4,1.9,11.3,31.9,17.5,2.5,1.1,4.3,31.1,2.3,0.731,0.784,0.625,26.1,5.3,0.484
Jr,6-10,Braden Huff,Gonzaga,WCC,12,C,61.9,4.8,3.8,10.8,8.4,2.4,134.1,88.6,25.1,69.1,68.2,10.3,12,9.4,9.3,1.2,2.5,0.9,21.1,4.3,0.797,0.563,0.723,9.9,2.7,0.267
So,6-2,Daniel Freitag,Buffalo,MAC,11,G,83.6,4.7,2.5,6.3,6.8,-0.5,124.4,111.2,27.4,54.4,61.8,2.8,15.1,19,10.7,1.8,1.7,2.6,64,2.5,0.353,0.816,0.439,51.5,11.4,0.429
So,6-0,Tyler Tanner,Vanderbilt,SEC,12,G,70.8,4.7,4.1,13.1,7.5,5.6,132.6,91.4,21.8,62.4,65.8,1.4,12.1,26.5,13.7,2.9,2.7,5,33.9,3.6,0.708,0.829,0.603,43.8,8.3,0.434
