YR,Height,Player,Team,Conf,GP,Position,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,Rim%,FT%,2PT%,3PR,3P/100,3PT%
So,6-7,Dylan Grant,Rutgers,B10,12,F,64.5,3.2,2.2,3.1,4.4,-1.3,115.5,107.9,25.2,54.3,58.8,8.5,16.7,4.9,12.9,0.4,1,1.2,47.9,2.7,0.576,0.75,0.511,21.4,4.8,0.44
Sr,6-5,Nimari Burnett,Michigan,B10,10,G,48.6,3.2,2.9,7.8,5.2,2.6,139.9,90,15.7,60.8,63.8,5.7,8.7,9.6,5.1,4.3,0.5,1.4,31.7,2.8,0.591,0.789,0.56,58.3,9.4,0.429
Sr,5-11,Turner Buttry,Eastern Kentucky,ASun,10,G,67.2,3.2,1.3,1.6,3.2,-1.7,127,119.4,18.2,50.6,58.7,1.9,6,20.5,10.3,3.5,0.4,0.8,48.1,2.4,0.6,0.892,0.517,62.3,10,0.333
So,6-5,Kareem Thomas,Dartmouth,Ivy,10,G,74,3.2,1.9,1.5,2.7,-1.2,113.7,114,28.5,63.6,68,2,7.3,14.4,21.7,0.6,0.7,1.5,79.6,3.9,0.52,0.756,0.514,30.1,6,0.613
Jr,6-0,Damari Wheeler-Thomas,North Dakota St.,Sum,10,G,76.8,3.2,2.9,2.9,2.2,0.6,115.8,106.1,24.6,47.9,54.7,2.3,8.3,20.1,11.1,2.1,0,2.7,56.8,3.6,0.517,0.761,0.424,50,10.7,0.356
Sr,6-3,Jacari White,Virginia,ACC,11,G,46.3,3.2,1.8,9.8,10.3,-0.6,137.8,105.5,21.7,68.4,69.7,6.7,7.6,15.3,15.8,1.4,0,2,19,2.4,0.571,0.8,0.474,75.9,17.2,0.5
Sr,6-4,Jordan Riley,East Carolina,Amer,11,G,89.7,3.1,3.2,4.8,4.1,0.8,104.2,106.7,30.4,48.9,52.7,4.7,13,14.8,13.4,0.7,1.8,3.2,47.6,2.3,0.566,0.659,0.494,15.7,4.2,0.31
Sr,6-2,Jadin Booth,Samford,SC,10,G,77.4,3.1,2.3,1.5,3.2,-1.7,113.6,113.2,23.4,52.7,60,1.2,10.7,10.1,13.3,1,0,2,42.6,2.2,0.765,0.909,0.424,74.4,15.7,0.375
Sr,6-7,Devin McGlockton,Vanderbilt,SEC,12,C,58.6,3.1,3,4.2,3.3,0.9,129.9,96.3,18,64,64,12,20.9,10.3,12.7,1.5,2.5,1.1,16.9,5.8,0.792,0.6,0.774,30.3,5.1,0.222
Sr,6-4,Otega Oweh,Kentucky,SEC,12,G,67.7,3.1,4,7,3.3,3.7,113.6,90.3,24.5,51.6,57.4,3.5,13,14,14.9,1.2,1.8,3.7,42.9,2.8,0.655,0.815,0.516,27.8,6.1,0.343
So,6-4,Tajuan Simpkins,Seton Hall,BE,12,G,63.7,3.1,3.2,6.5,5.2,1.3,130.2,97.2,18.1,65,69.9,4.7,10.3,6.7,15,0.8,1.7,2.1,55,2.1,0.684,0.841,0.583,40,6.2,0.5
So,6-6,"Jamie Kaiser, Jr.",Butler,BE,12,G,64.1,3.1,3,6.2,4.3,1.9,132.6,99.1,15.2,60.8,62,7.7,13.7,7.7,8.1,2,0.6,2.5,41,2.4,0.684,0.647,0.622,45.8,6.7,0.395
So,6-2,Cooper Campbell,Troy,SB,11,G,84.1,3.1,2.7,3.1,3,0,115.6,109.6,21.5,53.8,58.3,2.8,8.4,26.7,18.2,2.1,0.3,2.4,28.5,2.2,0.467,0.865,0.477,50,9.1,0.4
Jr,6-9,Tae Davis,Oklahoma,SEC,11,F,67.1,3.1,2.6,3.3,3.6,-0.3,116.6,105.4,24.7,51.4,53.7,13.7,14.6,18.5,13.9,1.7,1.1,1.9,31.5,3.5,0.619,0.657,0.6,18.9,4,0.095
Jr,6-6,"Dennis Parker, Jr.",Radford,BSth,11,G,71.6,3.1,2.3,5.2,5.9,-0.7,111.1,109.3,30,56.5,59.5,7,15.6,11,15.3,0.6,2.5,3.2,42.2,3.4,0.6,0.708,0.527,40.9,10.7,0.413
Jr,6-9,Noah Barnett,Vermont,AE,12,C,53.8,3.1,1.5,2.5,2.6,-0.1,145.1,113.2,13.2,74.2,76,12,11.3,3.4,12.4,0.7,3.3,2.1,129,4.3,0.769,0.75,0.742,0,0,0
Fr,7-0,Malachi Moreno,Kentucky,SEC,12,C,55.6,3.1,3.4,8.2,4.5,3.7,127,88.5,19.6,60.9,62.6,13.1,19.7,12,13,1.6,7.4,1.9,62.3,2.4,0.672,0.651,0.618,1.4,0.2,0
Sr,6-7,Pablo Tamba,LSU,SEC,11,C,63.1,3.1,3.3,6.4,3.4,3.1,142.3,95.7,11.5,69.2,70.1,11.9,19,7.6,12.2,2,2.3,2.2,59,4,0.765,0.696,0.75,7.7,0.6,0
So,6-8,Cooper Koch,Iowa,B10,12,F,58.3,3.1,3.1,7.3,5.2,2.1,140.7,94.4,13.1,70.7,71.4,6.7,13.7,6.1,10.1,1.7,0.9,1.8,25.9,3.6,0.786,0.733,0.667,63.8,8.2,0.486
Sr,6-5,Jamal Fuller,LIU,NEC,11,G,73,3.1,2.5,1.8,2.4,-0.6,119.4,109.8,20.1,59.5,63,4.3,14.9,8.7,16.5,0.8,2.2,2.4,44.5,3.8,0.615,0.755,0.515,40,6.9,0.477
Sr,6-2,Jordan Battle,Old Dominion,SB,12,G,76.9,3.1,2.5,4.3,3.9,0.5,115.7,109.8,22.4,52.9,62.2,3.4,16.2,18.7,17.7,1.3,0,2.6,67,2.7,0.44,0.87,0.385,49.5,7.8,0.451
Sr,6-4,Brian Taylor,East Tennessee St.,SC,11,G,84,3.1,2.9,2.1,2.7,-0.6,115.8,107.9,21,57.4,59.7,2.7,14.8,17,15.1,1.6,0.4,2.7,22.1,2.6,0.632,0.778,0.58,43.4,8.4,0.377
Jr,6-0,Mateo Esmeraldo,Lipscomb,ASun,10,G,73,3.1,3,4.4,3,1.4,116.9,103.4,22.2,45.3,52.9,3.3,12.4,41.8,15,3.9,0,3.3,44.2,1.2,0.523,0.842,0.491,36,5.7,0.258
Sr,6-7,Javan Buchanan,Boise St.,MWC,10,F,72.8,3.1,3.7,5.1,3,2.1,114.1,96.6,21.3,43.7,50.9,8.6,14.4,13.6,9.4,1.8,0.4,1.6,44.2,3.6,0.474,0.81,0.41,35.8,6.8,0.324
Sr,6-7,Tre'Von Spillers,Wake Forest,ACC,13,C,64.3,3.1,3.4,6.7,3.5,3.2,123.8,95.3,19.8,60,62.8,6.4,18.7,11.7,13.2,1.2,7.5,2.3,28.7,3.9,0.735,0.788,0.629,8.7,1.6,0.2
Sr,6-9,Garry Clark,Utah St.,MWC,10,C,53.9,3.1,3,5.2,4.5,0.7,128.8,93.2,21.6,67.8,64.3,20.7,20.1,9,12.3,1.2,3.2,2.1,69.5,5.3,0.833,0.512,0.69,1.7,0.3,0
Sr,6-1,Leland Walker,Wyoming,MWC,11,G,65.4,3.1,2.7,5.5,4.9,0.6,116.1,102.9,26.8,53,58.1,3.9,11.2,28.8,18.5,1.7,0.9,2.5,38.3,3.3,0.721,0.818,0.541,26.1,5.7,0.333
Jr,6-6,Devin Royal,Ohio St.,B10,10,F,66.5,3.1,3.4,4,3.6,0.5,116.8,98.9,21.9,55.7,60.3,7.8,14.7,10,15.8,0.9,0.8,1.5,40.6,3.3,0.583,0.795,0.517,37.5,6.9,0.417
Sr,6-4,Kyle Pulliam,William & Mary,CAA,8,G,46.6,3.1,2.6,5,3.3,1.7,124.5,100.6,20.2,54.7,63.3,5.4,11.8,12.5,11.1,2,1.8,3,81.1,4.7,0.609,0.814,0.586,45.3,6.7,0.333
Jr,6-10,Alvaro Folgueiras,Iowa,B10,12,F,47.8,3,3,11.5,6.6,4.9,132.8,87.1,21.4,69.1,69.5,6.3,21.2,21.2,15.1,2.2,2.3,3.5,32.4,4.7,0.759,0.682,0.697,51.5,9.4,0.457
So,6-8,Torey Alston,Middle Tennessee,CUSA,8,C,70.3,3,3.2,3.9,2.7,1.2,114.2,100.2,22.8,50.7,57,10.2,23.1,9.1,13.3,1.1,5.9,1.5,65.2,3.6,0.568,0.733,0.538,5.8,1,0
So,6-1,Tahaad Pettiford,Auburn,SEC,12,G,74,3,2.6,2.1,3,-0.9,107.6,107.1,25.4,46.5,51.3,2.5,7.3,15.3,16.3,1.1,3.4,1.9,27.4,2.6,0.487,0.837,0.447,51.6,12.9,0.321
Jr,5-11,Dre Kindell,Wichita St.,Amer,11,G,53.8,3,2.3,5.1,3.2,1.8,130.4,102.7,20.1,54.5,60.1,3.2,8,28.9,12.6,3.2,0.9,2,47,4.3,0.633,0.806,0.529,22.7,3.8,0.4
Sr,6-3,Ty Harper,Oral Roberts,Sum,11,G,73,3,1.7,1.5,3.7,-2.1,106,115.7,31.5,48.6,55.1,4,7.5,20.8,15.6,0.9,0.3,2.3,43.9,3.4,0.559,0.815,0.488,41.9,10.9,0.323
Sr,6-8,Kacper Klaczek,Elon,CAA,11,F,69.8,3,1.8,4.8,4.7,0.1,124.9,113.9,19.1,62.6,63,7.3,16.6,17.3,17.4,2,4.1,1.8,33.3,3.4,0.651,0.621,0.569,41.4,6.6,0.472
Jr,6-9,Corneilous Williams,North Alabama,ASun,9,C,74.8,3,2.3,0.9,2.2,-1.3,121,110.5,19.3,55.6,61.5,12.5,23.9,4.9,13.7,0.6,4,0.9,74.6,3.7,0.636,0.745,0.556,0,0,0
Jr,6-9,Baye Ndongo,Georgia Tech,ACC,8,C,43,3,3.3,7.7,4.9,2.9,123.3,96.3,20.7,61.9,63.2,12.6,18.8,21.5,15.4,1.8,4.4,1.9,38.1,3.1,0.673,0.667,0.632,9.5,1.6,0.333
Sr,6-4,Melvin Council Jr.,Kansas,B12,12,G,83.6,3,4.7,5.5,2.8,2.7,105.1,92.2,24,43.5,46.4,2.1,10.1,28.4,10.5,3.4,1.7,1.6,20.6,1.8,0.509,0.719,0.393,31,7.1,0.354
Sr,6-9,Toyaz Solomon,UNC Asheville,BSth,10,F,79.7,3,2.8,2.6,2.5,0.1,110.1,107.2,26.3,53.1,55.9,4.5,16.6,11,11.6,1.1,3.6,1.8,38.2,3.1,0.577,0.68,0.505,15.3,3.6,0.45
Sr,6-3,Nick Anderson,Rice,Amer,11,G,71.4,3,2.2,4.6,4.6,-0.1,118.6,110.8,21.5,50.8,56.9,2.6,11.4,8.7,10.1,1.2,1.3,2.5,31.7,2.6,0.433,0.923,0.373,58.5,13,0.403
Sr,6-7,Tre Carroll,Xavier,BE,13,F,76.7,3,3.1,4.8,4.5,0.3,109.1,103.8,25,55,56.2,4.8,15.9,19.8,12.9,1.6,2.6,1.1,25.1,2,0.672,0.628,0.54,33.9,8.1,0.379
Jr,6-9,Jake Ensminger,Santa Clara,WCC,9,F,54,3,2.7,4.8,3.4,1.4,132.5,106.3,12.2,57.3,58.5,10.9,15.6,21,18.2,3.9,1.4,1.1,22,3.7,0.714,0.667,0.65,51.2,4.7,0.333
Jr,6-8,Almar Atlason,Miami OH,MAC,10,F,49.4,3,1.6,5.7,6.1,-0.4,133.9,110.2,22.9,70,73.2,0.6,15.6,10.5,11.1,1.5,1.1,0.8,42.7,5.4,0.833,0.844,0.724,61.3,12.9,0.457
Sr,6-6,Jamal West Jr.,UTEP,CUSA,6,C,72.8,3,2.5,3.2,2.9,0.3,111.7,108.5,21.6,56,59.7,10.8,11.8,7.1,15.9,0.7,6.4,1.7,40,3.7,0.643,0.75,0.581,14,2.4,0.286
Jr,6-4,Shane Lancaster,Alcorn St.,SWAC,11,G,52.2,3,0.4,3.6,6,-2.3,125.6,127.1,21.8,68.8,70.9,1.5,2.7,13.1,17.6,0.8,1.3,2.2,32.5,3.5,0.636,0.808,0.487,51.2,9.9,0.585
Sr,6-2,Themus Fulks,UCF,B12,11,G,75.4,3,2.9,2.1,2.4,-0.3,114.2,105.4,23.7,53.5,57.6,1.7,10.8,34.4,25.6,2.1,0,1.4,35.6,2.5,0.549,0.778,0.488,14.9,2.5,0.533
Sr,6-5,Anthony Roy,Oklahoma St.,B12,8,G,45.5,3,2.4,4.3,5.4,-1.1,117.8,104.7,23.3,57.1,60.8,3.4,11.7,9.4,14.3,0.8,1.8,0.8,25.3,2.8,0.594,0.87,0.537,54.9,12.8,0.4
Jr,6-8,Garrett Johnson,George Washington,A10,10,F,47.2,3,2.1,2.9,4.7,-1.8,122.8,105.7,23.9,51.6,58,5.6,18,10.5,10,1.3,0.5,1,45.3,3.2,0.581,0.837,0.55,57.9,13.2,0.327
Fr,6-1,Preston Edmead,Hofstra,CAA,11,G,85.2,3,2.8,0,1,-1,111.2,109.6,23.8,46.3,54.2,0,5.1,25.2,17.3,2.1,0,1.3,50,3.4,0.412,0.833,0.419,64.2,12.2,0.325
Sr,5-10,Javon Bennett,Dayton,A10,13,G,81.4,3,3.4,2.8,2.8,-0.1,111.1,103.2,24.2,48,54,2.2,6,18.5,10.9,1.9,1.1,2.2,29.3,1.9,0.615,0.922,0.494,53.4,12.2,0.312
So,6-5,Gavin Doty,Siena,MAAC,12,G,86.4,3,3.6,3.7,2.7,1,119.3,102.8,20.5,49.6,54.8,4.2,18.2,11.3,6.5,2.6,0.3,2.1,41.5,1.5,0.583,0.768,0.495,26.7,5.3,0.333
Jr,6-9,Rikus Schulte,Fordham,A10,9,C,76.1,3,3.9,5.5,2.8,2.7,125,96.3,20,62.5,64.8,12.6,23.1,11.8,16.9,0.9,3.8,2.9,37.5,3.8,0.691,0.741,0.672,6.9,1.1,0
Sr,6-8,Collin Parker,Austin Peay,ASun,9,F,77,3,3.5,6.3,4.8,1.5,115.5,100,23.5,55,58.4,4.2,19.1,19.6,12.2,1.7,2.7,1.8,25.5,2.5,0.571,0.821,0.478,39.1,8.8,0.442
So,7-0,Ben Defty,Boston University,Pat,12,C,70.9,3,1.4,0.9,1.8,-0.9,118.4,118.6,22.9,64.9,65.5,9,20.7,14.6,18.8,1,7.5,1.4,56.4,4.3,0.712,0.642,0.649,0,0,0
Sr,6-5,JJ Harper,Liberty,CUSA,8,G,71.1,3,2.7,2.9,1.8,1.1,129.4,105.4,15.9,63,67.3,5.7,10.7,6.3,10.2,2.7,3.5,2.4,24.1,4.4,0.694,1,0.676,31.5,4.6,0.353
Sr,6-2,Tony Osburn,Nebraska Omaha,Sum,8,G,61.8,3,1.7,1.9,3.9,-1.9,118.1,116.5,21.3,52.3,56.7,0.9,8,21.7,9.7,3.4,0.5,2.3,31.4,1.6,0.538,0.815,0.568,57,11.3,0.327
Sr,6-5,Braxton Stacker,Southeast Missouri S,OVC,10,G,78.7,3,2.3,2.6,2.5,0.1,116.2,111.7,20.3,50.5,57.2,2.4,10.3,11.2,11.8,1.4,1.8,2.2,35.8,3.7,0.571,0.923,0.538,52.3,9.8,0.316
Fr,6-1,Leroy Blyden Jr.,Toledo,MAC,10,G,80.9,3,2.3,2,2.4,-0.4,113.1,112.3,22.2,50.5,55.6,2.4,7.4,24.2,15.7,2.5,1.3,3,33.3,4,0.387,0.833,0.397,46.3,8.7,0.42
Sr,6-2,Javontae Campbell,Bowling Green,MAC,10,G,82.7,3,4.8,5.9,1.6,4.3,110.7,91,26,47.2,54.1,5.2,10.8,22.5,15.1,1.8,0.4,5.3,48.8,3.9,0.516,0.8,0.48,17.1,3.6,0.286
Sr,6-7,Elias Ralph,Pacific,WCC,10,F,90.4,3,3.9,3.7,2.5,1.2,111.9,101.4,22.7,50.4,57,6.3,12,9.1,16.8,0.8,3.9,2.1,34.1,2.8,0.575,0.929,0.477,30.1,6.1,0.378
Sr,6-7,Connor Hollenbeck,Idaho St.,BSky,9,G,80.2,3,2.7,2.9,3.5,-0.6,115.8,108.2,21.1,51,54,6.8,9.4,14.4,13,1.5,1.6,1.7,24.7,2.1,0.45,0.75,0.357,56.7,11.6,0.418
So,6-11,Sebastian Rancik,Colorado,B12,12,F,69.9,3,2.6,3,3.3,-0.3,118.1,105.7,22.2,48.6,57.5,4.5,18,13.3,13.6,1.6,2.1,1.5,57.4,2.7,0.538,0.855,0.429,41.7,7.5,0.378
Fr,6-4,Jake Hall,New Mexico,MWC,11,G,69.7,3,2.8,4.2,4.2,0,121.4,103.4,19.7,59.5,61.4,1.6,7.8,10.4,10.2,1.5,0.5,1.3,15.5,2,0.8,0.833,0.632,67.2,14.2,0.385
Sr,6-1,Day Day Thomas,Cincinnati,B12,11,G,71.2,3,3.8,7,4,2.9,119.1,94.2,20.7,51.9,58.6,3.6,9.8,27.5,14.9,2.5,2.2,1.4,34.6,3.7,0.35,0.944,0.279,58.7,10.5,0.459
Fr,6-7,Amari Allen,Alabama,SEC,10,F,60.9,3,3.3,6.7,4.2,2.6,117.3,97.4,18.8,53.7,55.5,5.1,18.6,19.4,15.5,2.3,2.6,2.1,30.9,3.4,0.59,0.64,0.571,48.1,7.6,0.333
Sr,6-6,Max Mackinnon,LSU,SEC,11,G,68.4,3,2.8,4.7,4.2,0.4,121.2,103.2,20.3,57.3,62.9,1.3,8.7,15,17.3,1.5,0.7,1.5,35.4,2.8,0.552,0.912,0.422,53.1,9.5,0.471
Fr,6-6,Jamier Jones,Providence,BE,13,G,47.4,3,1.4,5.1,5,0.1,135.6,110.9,19,71.7,72.2,6.4,11.8,14.2,13.5,1.7,0.8,1.9,40.8,4.6,0.742,0.71,0.701,11.8,1.9,0.556
Sr,6-5,Chase Ross,Marquette,BE,13,G,77.5,3,3.3,4.5,2.7,1.8,109,101.9,25.6,48.1,55.1,1.7,13.3,21.1,14.8,1.5,0.8,3.4,58.1,2.4,0.563,0.767,0.505,37.4,7.9,0.293
So,6-3,C.J. Cox,Purdue,B10,12,G,58.4,2.9,2.6,4,2.8,1.3,138,100.3,12.6,60.6,63.1,2.3,8,7,8.6,2.6,0.4,0.6,12.7,2.6,0.692,1,0.552,59.2,9,0.429
Sr,6-4,Dillon Hunter,Clemson,ACC,12,G,65.3,2.9,3.3,5.8,2.6,3.1,128.7,96.6,16.1,59,62.8,2.9,10.9,18.3,14,2.7,0,2.8,28.2,2.7,0.625,0.864,0.543,41,6,0.438
Fr,6-3,Rakim Chaney,Valparaiso,MVC,10,G,66.5,2.9,2.7,7.5,4.5,3,123.9,104.1,20.1,61.8,63.9,2.2,11,23.9,16.4,1.9,2.1,3.5,25.9,3.7,0.692,0.773,0.568,56.5,10.5,0.438
So,6-7,Kameron Taylor,UNC Asheville,BSth,10,F,86.1,2.9,2.8,1,2.1,-1.1,104.2,109.5,29.4,47,52.5,6.8,15.3,21.3,16.4,1.3,2.1,1.3,51.9,2.9,0.585,0.71,0.527,30.1,6.7,0.225
Sr,6-4,Seth Hubbard,Milwaukee,Horz,8,G,63.1,2.9,1.7,0.9,2.4,-1.6,112.5,116.9,23.6,50,52.7,2.8,7.6,14.2,8.5,1.9,1.3,1.6,25,3.8,0.588,0.714,0.473,33.9,8.5,0.368
Sr,6-3,Nic McClain,Belmont,MVC,12,G,63.7,2.9,3.1,5.6,3.6,2,115.5,97.7,26.9,55.4,58.2,3.8,13.6,40.9,22,2.3,0,3.4,53.8,3,0.51,0.66,0.5,31.2,5.2,0.448
Jr,6-4,Tyler Perkins,Villanova,BE,11,G,61.4,2.9,3,6.9,5.3,1.6,125.4,98.1,19.6,52.6,54.7,5.8,14.3,12,6.9,3,0.8,2.5,24,2.1,0.529,0.696,0.449,49,10.5,0.404
Sr,6-7,Patrick McMahon,Montana St.,BSky,10,G,75.5,2.9,2.6,1.6,2.5,-0.9,109.7,108.3,27.5,51.6,54.5,4.4,15.8,18.2,12.6,1.3,0.4,1,37.1,3.7,0.574,0.674,0.515,18.5,4.4,0.348
Sr,6-2,Jed Miller,Montana St.,BSky,10,G,85.5,2.9,3.1,3.5,2.6,0.9,123.2,106.5,15.8,56.3,59.3,4.2,12.1,10.8,10.8,2.6,0.3,2.4,21.6,3.1,0.6,0.842,0.632,78.4,11.8,0.362
Sr,6-9,Fredrick King,Murray St.,MVC,11,C,52.8,2.9,2.7,5.6,4.5,1,124.4,99.5,23.5,67.4,66.3,15.9,23.6,8.6,16.5,0.7,6.2,1.3,91.7,3.9,0.746,0.606,0.691,5.6,0.9,0.25
Sr,6-5,Chase Lowe,William & Mary,CAA,10,G,56.1,2.9,2.4,5.1,3.6,1.5,124.3,101.6,20.8,62,67.7,7.8,13.4,32.1,21.3,2.4,1,2.5,82,2.7,0.703,0.78,0.66,6,0.7,0
Jr,6-8,Eemeli Yalaho,Washington St.,WCC,12,F,65.6,2.9,2.1,2.7,4.1,-1.3,126,110.1,17.1,61,64.9,8.5,17.5,6,14.1,0.7,0,0.9,26.8,2.8,0.708,0.909,0.541,54.9,8.3,0.444
Sr,6-3,Xaivian Lee,Florida,SEC,12,G,71.9,2.9,4,5.4,2.4,3.1,115.6,93,20.4,43,49.5,1.8,14.8,21,13.9,2.4,0.9,1.9,33.6,2.5,0.543,0.86,0.521,62.5,12.6,0.25
So,6-9,Okku Federiko,Drake,MVC,10,C,64.1,2.9,2.4,2.7,2.6,0.1,118.2,105.8,24.1,61,63.8,9.7,18.7,9.7,16.1,1.1,5.8,0.7,51.2,4.2,0.766,0.714,0.732,31.7,5.9,0.231
Sr,6-9,Ring Malith,SIU Edwardsville,OVC,9,F,77.9,2.9,2.4,5.2,5.5,-0.3,112.5,110.7,26.6,56.9,59.1,5.7,11.9,13.3,14.9,0.9,2.3,2.1,33.6,2.5,0.75,0.692,0.582,42.2,10.2,0.367
So,6-4,Adrian Wooley,Louisville,ACC,12,G,53.8,2.9,3,7.1,4.6,2.6,129.4,92.8,17.8,56,61.4,8.6,13.6,11.9,12.9,1.7,0.4,2.7,38.7,4.3,0.607,0.862,0.581,58.7,9.2,0.364
So,6-8,Isaiah Manning,Sam Houston St.,CUSA,8,F,51.2,2.9,2,4.6,4,0.6,127.9,104.8,22.2,57,62.1,4.7,16.4,11.5,12.2,1.6,1.5,1.7,35.9,6.1,0.684,0.87,0.531,50,10.8,0.406
Sr,6-9,Theo Seng,Troy,SB,11,F,76.8,2.9,2.4,1.5,2,-0.5,121.7,110,17.9,53.9,58.3,6.1,13.9,8.2,8.5,1.7,1.7,0.8,54.4,3,0.656,0.714,0.618,34,5.4,0.257
Sr,6-3,Marcus Banks,Massachusetts,MAC,12,G,83.3,2.9,3.2,3.4,3,0.3,118.4,105.6,20.1,55.6,58.9,1.1,8.1,10.4,11.4,1.3,0,1.8,22.2,2.7,0.65,0.861,0.5,63,13.8,0.392
Fr,6-3,Mario Saint-Supery,Gonzaga,WCC,12,G,55.9,2.9,3.8,10.1,4.9,5.2,126.6,84,19.1,56.5,62.5,2.5,12.2,27.2,19.8,2.9,0.5,3.6,43.5,3.1,0.464,0.867,0.395,44.9,6.2,0.516
Sr,6-8,Yaphet Moundi,San Jose St.,MWC,11,C,71.9,2.9,2.6,2.3,2,0.3,113.4,106.8,24.6,48.4,57.3,9.9,23.5,11,16.1,0.8,2.3,2.3,82.4,3.8,0.577,0.76,0.506,4.4,0.8,0
Jr,6-10,Lazar Djokovic,VCU,A10,12,F,61,2.9,2.8,5.3,4,1.4,124.2,99.7,20.3,58.4,64.1,7.1,14.7,6.8,13.8,0.7,4.8,1.3,98.7,2.6,0.649,0.724,0.589,27.3,3.9,0.381
Jr,6-3,Aidan Burke,UC San Diego,BW,11,G,71.9,2.9,2.8,2.9,2.5,0.5,127.9,104.8,16.5,62.7,64.2,3.1,10.2,13.1,11.1,2.6,0,1.8,26.5,3.4,0.64,0.727,0.679,66.3,10,0.4
Sr,6-4,Isaac McKneely,Louisville,ACC,12,G,68.5,2.9,3.3,4.9,4.3,0.6,127.7,97.8,14,60.9,62.7,1.7,10.4,5.4,9.4,1.4,0.7,1.2,13.9,1.9,0.75,0.857,0.6,85.1,14.1,0.407
Sr,6-3,Anthony Johnson,Arizona St.,B12,12,G,55.3,2.9,2.4,4.1,2.6,1.5,111.6,101.1,30,54.3,62.6,2.7,12.2,16.1,19.1,0.8,0.5,3.4,96.7,5,0.597,0.764,0.551,25,4.9,0.348
Sr,6-5,Morgan Safford,Kent St.,MAC,10,G,78.2,2.9,2.4,2.2,3,-0.8,120.9,110.5,19.3,51.4,56.1,7.3,12.6,11.4,11.1,1.7,2.2,1.7,46.7,3.7,0.522,0.735,0.429,66.7,11.5,0.371
Jr,6-9,Cam Manyawu,Iowa,B10,12,C,41.8,2.9,2.5,7.7,5.1,2.6,134,89.7,22.8,62.9,65.2,15,19.1,11.7,9.4,1.7,4.6,2.2,50,5,0.714,0.71,0.629,0,0,0
So,6-2,Nick Coval,Davidson,A10,10,G,59,2.9,2,2.7,2.8,-0.1,130.1,108,17.5,65.7,71.3,2.7,9.6,11.8,16.3,1.4,0,1.3,51.9,3.4,0.565,0.893,0.611,33.3,4.7,0.5
So,6-9,Elijah Price,Nevada,MWC,12,C,75.9,2.9,3.4,3.3,2.7,0.6,114.7,100.8,20.3,43.4,52,9.9,19.7,6.9,7.9,1.3,6.7,1.8,82.7,3.1,0.433,0.704,0.417,14.3,2.2,0.357
So,6-5,Collin Chandler,Kentucky,SEC,12,G,61.6,2.9,3.4,7.1,3.8,3.3,125.2,93.5,16.9,57.4,60.1,1.5,11.5,18,12.4,3,2.3,2.3,20.5,3.5,0.615,0.833,0.516,64.8,10.9,0.404
Jr,7-1,Tomislav Ivisic,Illinois,B10,8,C,43.6,2.9,3,6,4,1.9,120.6,97.3,18.8,62.3,62.8,7.3,14,9.6,19,0.9,2.7,0.9,24.6,2.5,0.917,0.643,0.792,57.9,9.8,0.333
Sr,6-6,Jevin Muniz,Colorado St.,MWC,11,G,74.9,2.9,2.3,3.9,3.1,0.8,123.8,110.3,18.2,54.2,56.8,4,14.3,28.5,18.6,3.2,1.6,1.7,23.6,2.3,0.576,0.765,0.545,38.9,5.3,0.357
Fr,6-4,Brayden Burries,Arizona,B12,11,G,67.1,2.9,4.3,6,2.1,3.9,115.9,87.1,21.3,55.2,57,2,10.2,14.1,15.8,1.4,1.1,3.2,25,3.4,0.667,0.69,0.597,42.2,9.1,0.327
Sr,6-4,Masai Troutman,George Mason,A10,9,G,57.3,2.8,3,4.6,3,1.6,124.9,99,21,49.2,60.2,5.5,13.2,13.3,12.2,1.6,0.6,1.8,69.2,2.1,0.524,0.889,0.447,41.5,6.9,0.37
So,6-5,Cole Certa,Notre Dame,ACC,12,G,49.8,2.8,1.9,4.8,4.9,-0.1,134.2,104.9,17.5,58.8,64.1,2.6,6.2,7.5,8.5,1.7,0,1,27,2.2,0.5,1,0.3,86.5,15.9,0.422
Jr,6-9,David Fuchs,San Francisco,WCC,8,C,41.4,2.8,2.4,4.2,3.6,0.6,115.5,101.9,27.8,57,62.8,9.4,23.2,14.2,18.1,0.8,3.4,0.7,118,3.9,0.541,0.695,0.522,8,1.3,0.75
Sr,6-4,Marvin McGhee III,UT Rio Grande Valley,Slnd,9,G,67.7,2.8,2.7,4.5,4.2,0.3,120.8,103.9,18.5,60.5,61.9,2.8,18.6,8.2,9,1.9,0,1.9,16,2.8,0.545,0.769,0.471,58,11.2,0.468
So,6-8,Derrion Reid,Oklahoma,SEC,11,F,63.7,2.8,2.2,3.9,4.1,-0.2,123.5,108.1,19,52.9,58.4,4.3,11.6,9.6,9.5,1.8,1.9,1.2,48.3,1.3,0.622,0.786,0.585,39.1,6.8,0.294
So,6-1,Damarion Dennis,Wyoming,MWC,11,G,49.3,2.8,2.1,6.5,4.2,2.3,140.8,101.5,16.1,61.3,66.5,3.6,10.6,12.4,7.8,3.2,0.6,3.3,37.1,3.3,0.667,0.913,0.722,41.9,6.6,0.308
