YR,Height,Player,Team,Conf,G,Role,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,A/TO,Blk,Stl,FTR,FC/40,C2%,FT%,2PT%,3PR,3P/100,3PT%
Jr,6-8,Rui Hachimura,Gonzaga,WCC,102,F,44.3,3.9,3.4,7.1,4.8,2.3,120.3,89.9,25.5,59.4,62.9,6.8,17.5,7.5,13.2,0.7,2.6,1.7,47.3,3.2,0.708,0.746,0.607,9.5,2.1,0.316
Sr,6-7,Baylor Scheierman,Creighton,BE,157,F,76.6,3.9,3.7,6.3,4.6,1.7,114.5,96.4,22.1,56.7,59.5,2.8,23.9,19.9,16.8,1.8,0.6,1.7,26.1,2.4,0.657,0.822,0.547,55.1,10.3,0.389
Jr,6-7,Darington Hobson,New Mexico,MWC,35,F,83.3,3.8,4,7.9,5.6,2.3,105.9,91.7,27.7,48.4,52,7,24.6,29.3,18.7,1.5,1.6,2.2,45.3,2.3,0.626,0.653,0.465,24.6,5.4,0.361
Sr,6-8,Nigel Hayes,Wisconsin,B10,150,F,73.6,3.8,4,6,3.9,2.1,110.9,92.3,24.6,48.3,53.1,7.5,14.8,15,13.7,1.4,1.5,1.9,60.2,2.8,0.602,0.666,0.478,22.4,4.4,0.332
Fr,6-7,Ignas Brazdeikis,Michigan,B10,37,F,74.1,3.8,4.5,7.7,4.6,3.1,110.7,86.1,24.6,53.1,57.3,4.6,16.1,6.1,10.5,0.7,1.7,1.5,36.9,2.9,0.62,0.773,0.5,35.1,8,0.392
So,6-8,Rodney Hood,Duke,ACC,67,F,79.9,3.8,3,4.9,4.5,0.3,116.7,101.1,19.3,53.9,56.9,3.2,12.5,12.6,11.8,1.7,1,1.1,24,2.4,0.644,0.773,0.499,42.6,8.2,0.396
Sr,6-7,Kenrich Williams,TCU,B12,102,F,77.3,3.8,4,7.9,5,2.9,118,93,18.2,54.2,55.9,11,20.5,14.9,14.1,1.9,2.3,2.5,36.3,3.1,0.665,0.625,0.533,31.4,4.8,0.374
Sr,6-9,Jalen Bridges,Baylor,B12,129,F,64.5,3.7,3,6.9,5.4,1.5,125.4,97.4,16.1,56.9,59.6,9,13.9,6.7,11.2,1.1,2.9,1.9,27.9,2.8,0.67,0.796,0.582,52.1,8,0.371
So,6-6,Will Barton,Memphis,CUSA,70,F,81.5,3.7,4,6.2,4.3,1.9,108.2,91.6,24.3,51.7,54.9,6.6,15.9,18.3,17.2,1.2,1.9,2.6,31.1,2.7,0.674,0.733,0.546,30.2,6.4,0.299
Jr,6-7,Jordan Nwora,Louisville,ACC,93,F,59.9,3.7,3.9,6.9,4.8,2.1,108.5,90.5,25.5,53.5,57.3,5.1,19.9,8.5,15.9,0.6,1,1.7,30.8,2.9,0.619,0.785,0.489,45.8,10.9,0.394
Fr,6-7,Michael Kidd-Gilchrist,Kentucky,SEC,40,F,77.8,3.6,4.3,6.7,3.9,2.9,111.8,86.5,21.3,51.1,57,10.3,16.1,10.8,19.6,0.9,2.8,1.9,58.9,3.1,0.699,0.745,0.535,15.6,2.4,0.255
Fr,6-6,Keldon Johnson,Kentucky,SEC,37,F,76.2,3.6,4.1,5.7,3.5,2.2,112.9,91.1,21.7,52.1,55.8,5.5,16.5,10.6,14.5,1,0.6,1.5,41.6,2.9,0.595,0.703,0.498,31.6,6.2,0.381
Jr,6-8,Jake LaRavia,Wake Forest,ACC,86,F,70.5,3.6,3.5,6,3.5,2.6,113.3,93.6,23,56,59.7,9.8,15.6,18,18.6,1.2,3.6,2.4,48.6,4,0.629,0.741,0.56,18.3,3,0.374
Sr,6-7,Kelan Martin,Butler,BE,136,F,66.4,3.6,3.4,4.6,4.1,0.6,106.9,95,27.9,50.6,54.7,4.6,19,9.1,13.7,0.7,1.8,1.2,31.1,3.1,0.646,0.786,0.495,39.5,10.4,0.348
Sr,6-5,Damyean Dotson,Houston,Amer,134,F,70.8,3.6,3.2,5.6,5,0.6,117.4,97.8,20,55.1,57.5,4.9,14.9,7.6,11.7,1,0.6,1.5,18.3,2.2,0.673,0.796,0.535,46,9.7,0.38
Sr,6-7,Jaron Blossomgame,Clemson,ACC,128,F,74.1,3.5,3.7,5.4,4.2,1.2,110.6,94.9,22.7,52.5,56.4,7.3,17.4,8.3,13.3,0.7,2.6,1.3,40.5,2.2,0.671,0.724,0.541,23.6,4.8,0.316
Sr,6-5,Treveon Graham,VCU,A10,140,F,61.4,3.5,3.2,6.7,6.1,0.6,112.3,92.2,26.1,50.2,54.2,8.7,17.7,12,12.1,1.1,1,1.8,45.8,3.4,0.56,0.691,0.483,39.5,9.3,0.354
So,6-9,Trendon Watford,LSU,SEC,59,F,80.6,3.5,3.3,3.4,3,0.4,104.8,98.1,24,51.1,54.2,6.6,16.9,12.7,18.7,0.9,2.3,1.7,42,2.8,0.696,0.662,0.528,18.4,3.6,0.29
So,6-9,Franz Wagner,Michigan,B10,55,F,72.1,3.5,4.4,8.1,3.8,4.3,112.7,86.2,19,53.9,57.7,3.1,18.2,11.8,13.7,1.5,2.5,2.3,26.1,3,0.674,0.835,0.583,45.9,8,0.325
Sr,6-8,Elias Harris,Gonzaga,WCC,133,F,69.6,3.5,3.6,6.4,4.7,1.7,113.7,89.5,23.9,54.4,58.5,9,20.5,9.8,15.8,0.7,2.1,1.9,48.1,3,0.687,0.724,0.547,17,3.4,0.355
Jr,6-7,Julian Strawther,Gonzaga,WCC,93,F,53.7,3.4,3.2,5,4.3,0.7,119.2,94.6,19.3,57.9,60.5,4.4,16.8,5.7,11.8,0.9,1.1,1.3,31.5,2.9,0.662,0.757,0.585,50.8,9.4,0.383
So,6-8,Harrison Barnes,North Carolina,ACC,75,F,73,3.4,3.7,6.3,4.6,1.7,107.5,90,25.4,48.8,52.5,7,11.9,8.4,14.3,0.7,1.2,1.7,31.2,2.5,0.73,0.734,0.471,32.6,8.2,0.349
Jr,6-8,Julian Champagnie,St. John's,BE,88,F,73.6,3.4,3.7,5.5,4.3,1.2,107,92.8,23.5,49.2,53.1,5.3,18.4,8.4,11.3,0.9,3.5,2.7,25.3,2.2,0.614,0.815,0.475,36.2,8.6,0.347
Jr,6-5,Jamaal Franklin,San Diego St.,MWC,82,F,53.2,3.4,4.2,6.4,3.8,2.6,102.1,86.1,29.7,47.6,54.8,6.5,24.3,16.1,20.6,0.7,2.2,2.3,52.6,3.4,0.665,0.789,0.494,38.5,8.8,0.299
Fr,6-8,Jett Howard,Michigan,B10,29,F,66.1,3.4,3.1,4.3,3.8,0.5,111.5,100.3,21.8,53.2,56.2,1,8.8,12.9,11,1.6,2.1,0.8,22.7,2.8,0.617,0.8,0.496,64,13.7,0.368
Sr,6-8,Anton Watson,Gonzaga,WCC,149,F,52.3,3.4,3.3,8.3,4.5,3.8,122.9,91.1,19,60.5,61.8,8.7,15.5,12.9,14,1.8,2.4,3.3,43.5,3.9,0.727,0.628,0.634,15.4,2.3,0.299
So,6-9,Devin Ebanks,West Virginia,BE,69,F,75.2,3.3,4.4,6.9,4,2.9,108.9,86.5,20.5,47,52.7,9.5,19.1,16,19.2,1.2,2.4,1.8,49,2.1,0.662,0.736,0.51,11.7,1.9,0.114
Sr,6-8,Tosan Evbuomwan,Princeton,Ivy,82,F,60,3.3,2.7,3.9,3,0.9,107.1,101.8,27.9,53.4,53.8,6.7,15.8,28.5,18.5,1.6,1.7,1.9,40.3,3.3,0.59,0.6,0.548,8,1.7,0.246
Fr,6-8,Will Riley,Illinois,B10,35,F,63.8,3.3,2.9,5.2,4.4,0.8,115.3,99,23,49.7,53.2,5.2,11.5,16,11.3,1.9,1,0.6,32.3,1.9,0.65,0.724,0.502,40.1,8.9,0.326
Fr,6-9,Kevin Knox,Kentucky,SEC,37,F,80.7,3.3,3.8,4.2,3,1.2,107,95.6,23,51.1,55.7,3.3,14.5,8.7,17.5,0.6,1,1.5,37.2,2.7,0.657,0.774,0.511,37.9,7.9,0.341
So,6-8,Royce White,Iowa St.,B12,34,F,78.8,3.3,4,7.4,3.8,3.6,100.3,89.7,29.1,54,53.6,9.4,24.6,34.5,24.7,1.3,3,2.2,62.5,3.3,0.733,0.498,0.541,3.7,0.7,0.333
Fr,6-7,Liam McNeeley,Connecticut,BE,27,F,61.1,3.3,3.4,2,2,0,109.5,100.9,24.2,45.5,52.9,3.7,18.7,13.1,14.8,1.2,0.8,1.1,41,2.5,0.486,0.866,0.436,46.8,10.4,0.317
Fr,6-6,Stanley Johnson,Arizona,P12,38,F,70.9,3.3,4.4,8.4,4.5,3.9,108,82.6,26,50.1,55.1,8.9,19.1,11.6,17.4,0.8,1.6,3.2,45.6,3.7,0.538,0.742,0.478,29.7,6.4,0.371
Jr,6-8,Malik Fitts,Saint Mary's,WCC,94,F,72.6,3.3,3.4,4,3.1,1,109,96.9,23,53.2,56.6,5.1,21.5,7.4,14.6,0.7,1.1,2.2,32.5,3.6,0.576,0.747,0.497,39,8,0.391
So,6-8,Tari Eason,LSU,SEC,56,F,54.9,3.2,3.5,9.5,5.2,4.2,106.8,82.6,28.5,54,58.6,11.3,20.5,11.6,19.7,0.5,6.7,4.2,44.6,4.8,0.626,0.757,0.551,21.1,4.9,0.333
Sr,6-9,Tristan da Silva,Colorado,P12,124,F,60.7,3.2,3.4,4.9,3.2,1.7,111.2,96.4,20.8,56.2,59.2,4.3,12.1,11.9,17.3,1,1.5,1.9,26.9,2.8,0.623,0.786,0.553,35.6,6.8,0.386
So,6-5,Johnny Davis,Wisconsin,B10,62,F,70.6,3.2,4,6.1,3.3,2.8,101.3,88.9,26,46.7,51.7,4.7,20.1,12.4,13.8,1,2.4,2.3,32.7,2.9,0.611,0.779,0.462,23,5.2,0.323
So,6-9,Kyle Anderson,UCLA,P12,71,F,77,3.2,4.3,8.4,4.4,3.9,105.7,88.6,23.8,47.9,53.1,6.1,24.3,28,19.6,1.9,2.7,3.2,44.9,2.4,0.612,0.736,0.465,14.3,2.4,0.375
Sr,6-7,Keion Brooks Jr.,Washington,P12,142,F,61.3,3.2,3.2,3.6,2.7,0.9,105.7,96.1,24.5,50.2,54.9,6.6,15.8,8.2,15.6,0.6,2.9,1.3,35.6,3.1,0.648,0.784,0.511,22.5,4.8,0.313
So,6-7,Charlie Brown,Saint Joseph's,A10,63,F,85.4,3.2,3,3,3.2,-0.2,107.2,105,22.9,48.9,53.7,4.9,13.3,8.4,10.9,0.9,2.6,1.5,29.1,2.7,0.626,0.836,0.436,44,9.5,0.371
Jr,6-8,Amir Coffey,Minnesota,B10,87,F,71,3.2,3.5,3.9,2.6,1.3,106.7,99.1,22.2,49.8,55,2.4,9.8,19.3,16.2,1.5,0.6,1.6,48.5,2,0.659,0.733,0.502,30.9,5.6,0.328
Sr,6-6,Sean McDermott,Butler,BE,125,F,55.9,3.2,3,5.5,4,1.5,123.7,96.3,14.4,60.9,63.2,4.5,15.3,5.3,11.5,1.1,1.2,1.3,20.3,3,0.685,0.824,0.619,70.3,10,0.403
Sr,6-8,Eric Paschall,Villanova,BE,136,F,70.5,3.1,3.3,3.4,2.5,0.9,110.6,97.4,21.7,53.4,57.8,6.3,14.1,10.1,18,0.8,2,1.5,35.4,3.1,0.671,0.767,0.561,40.8,7.5,0.329
Fr,6-8,Kendall Brown,Baylor,B12,34,F,67,3.1,3.5,6.4,3.4,3,116.1,90.1,17.5,61.5,63,7.3,13.7,12.3,21,1.1,1.5,2.2,32.7,3.4,0.762,0.689,0.638,18.1,2.6,0.341
Sr,6-7,Terance Mann,Florida St.,ACC,140,F,63.7,3.1,3.2,5.5,3.6,1.9,118.2,95.5,17.9,58.1,60.2,8.5,13.5,13.7,16.4,1.4,1,1.7,42.5,3.1,0.703,0.67,0.601,18,2.6,0.327
So,6-6,Terrence Ross,Washington,P12,69,F,59.6,3.1,3.1,6.7,4.7,2,114,92.7,21.9,53.6,55.7,4.9,15.7,9.3,14.1,0.9,2.6,2.1,18,4,0.705,0.764,0.528,45.6,10.6,0.364
Sr,6-7,James Ennis,Long Beach St.,BW,63,F,77.8,3.1,3.2,6.6,4.3,2.4,111.4,96.5,21.3,57,61.1,5.8,13.6,15.7,21.9,1,3.4,3.1,37.6,3.2,0.735,0.798,0.605,46.9,7.9,0.353
So,6-8,Paul George,Fresno St.,WAC,61,F,79,3.1,3.5,5.1,3.4,1.7,106.5,96.1,24,53.3,57.8,6.5,16.1,16.9,19.6,0.9,2.9,3.4,36.2,3.3,0.66,0.796,0.487,43.4,8.7,0.395
Sr,6-8,Lamar Stevens,Penn St.,B10,135,F,79.8,3.1,4,3.2,1.8,1.4,99.7,93.6,27.6,45.8,50.7,5,17.7,13.2,15.6,0.8,3.1,1.4,38,3.2,0.608,0.738,0.468,16.9,4.1,0.276
Sr,6-8,Kobe Brown,Missouri,SEC,122,F,60.7,3.1,2.8,4.8,3.4,1.4,108.9,96,22.3,54.1,58,7.8,19.8,13.7,17.6,1,2.4,2.5,34.8,4.1,0.68,0.749,0.574,32.4,6,0.315
Sr,6-8,Larry Nance Jr.,Wyoming,MWC,115,F,66.8,3.1,4,5.6,2.5,3.1,108.8,90.3,22.5,53.5,57.8,7.1,21.5,12.5,15.2,0.9,4.5,2.6,44.8,3.1,0.8,0.771,0.543,11.9,2.1,0.318
Jr,6-9,Trey Murphy III,Virginia,ACC,82,F,61.2,3,2.3,4.2,4.2,0,119.4,103.8,18.1,59.6,62.2,3.5,12.8,8.1,11.6,1.1,1.9,1.6,25.1,3,0.757,0.823,0.569,69.6,12.1,0.405
Sr,6-8,Taurean Prince,Baylor,B12,124,F,44.8,3,3,6.6,4.7,1.8,107.2,93.3,26.2,52.3,55.5,8.9,15.3,12.2,19.9,0.7,2.8,2.8,35.4,4.1,0.657,0.717,0.5,34.8,8.3,0.378
Fr,6-8,Moe Harkless,St. John's,BE,32,F,89.9,3,3.8,3.6,2.9,0.7,100,95.8,24.3,47.2,50.4,8.4,18.2,9.6,16.8,0.6,4.2,2.6,32.6,2.6,0.648,0.676,0.506,18.5,4,0.215
Sr,6-8,Duncan Robinson,Michigan,B10,113,F,61.3,3,2.9,5.6,3.9,1.7,122.8,97.4,16.7,60.6,63.3,2.2,10.4,9.4,10.1,1.8,1.3,1.4,18.3,3.5,0.708,0.864,0.546,71.8,12.1,0.42
So,6-7,Rondae Hollis-Jefferson,Arizona,P12,76,F,66.9,3,4.2,7.9,3.4,4.5,113.5,83.4,20.7,50.4,56,9.7,18,10.5,14.8,1.1,3.8,2.1,68.2,3.6,0.707,0.697,0.52,7.5,1.1,0.205
So,6-5,Nate Hinton,Houston,Amer,68,F,60.5,2.9,3.6,7.6,4,3.6,115.6,86.6,18.8,48.9,53.7,8.2,20.2,11.9,13.8,1.4,0.6,3,33.5,3,0.58,0.8,0.444,42.2,7.3,0.366
Sr,6-7,Isaiah Livers,Michigan,B10,118,F,50.3,2.9,3.4,6.7,3.7,3,117.3,89.7,16.5,57.2,60.4,4.6,14,7.3,12.1,1.2,2.2,1.3,19.8,2.7,0.682,0.856,0.525,53.4,8.6,0.409
So,6-6,CJ Elleby,Washington St.,P12,64,F,80.1,2.9,3.4,4.1,3,1.1,100.8,97.8,27.6,48.5,52.4,4.9,21.7,16.7,16.5,0.9,2.3,2.4,30.7,3.4,0.579,0.752,0.443,39.2,9.5,0.367
Sr,6-7,Stanton Kidd,Colorado St.,MWC,61,F,78.5,2.9,3.1,3.6,2.8,0.8,111.4,98.1,21.4,54.9,57.3,9.3,13.2,10.2,15.8,0.8,2.6,1.7,31.1,3.3,0.632,0.717,0.535,22.6,4.4,0.397
Sr,6-7,B.J. Johnson,La Salle,A10,91,F,44.9,2.9,2.9,2.5,2.7,-0.2,102.4,100.9,26.2,49.3,54.5,6.4,19.1,5.8,15.2,0.4,2,2.1,31.3,2.8,0.631,0.843,0.487,40.6,9.7,0.335
Sr,6-6,Admiral Schofield,Tennessee,SEC,131,F,58.6,2.9,3.2,4.7,3.4,1.3,109.4,94.5,22.8,53,55.5,5.8,17.6,10.8,14.5,1,1.6,1.5,22.9,4.3,0.63,0.763,0.499,37.3,8.4,0.388
So,6-9,Jarell Martin,LSU,SEC,65,F,73.2,2.9,3.7,3.4,2.5,1,106.3,94.3,22.5,52.5,56,8.7,15.3,8.9,18.2,0.6,2.1,1.9,44.3,3.4,0.693,0.689,0.541,20.3,3.8,0.308
Fr,6-8,Aaron Gordon,Arizona,P12,38,F,77.1,2.9,5,7.2,3.3,3.9,105.5,83.3,23.2,51.6,50.3,10.4,19.3,13,12.4,1.4,3.4,1.8,47.1,3,0.692,0.422,0.513,11.8,2.4,0.356
Fr,6-6,Cassius Stanley,Duke,ACC,29,F,63.1,2.9,3.3,4.1,3.1,1,109.4,91.9,21.3,53.1,56.9,7.6,11.7,6.6,17.4,0.6,2.4,1.4,38.9,3.2,0.586,0.733,0.527,31.9,5.9,0.36
Sr,6-8,Sviatoslav Mykhailiuk,Kansas,B12,134,F,51.1,2.8,3,4.6,3.2,1.4,111.9,96.7,18.2,54.6,56,3.6,8.6,11.2,15,1.4,0.9,1.8,13.9,3,0.556,0.746,0.456,58.3,10.6,0.407
Sr,6-8,James Southerland,Syracuse,BE,111,F,35.4,2.8,3.1,9.1,5.6,3.5,119.2,85.5,18.3,55.5,57,5.1,14.3,6.6,10.3,1.2,4.9,3,14.3,3.3,0.815,0.74,0.552,57,11.9,0.372
Sr,6-6,Stanley Umude,Arkansas,SEC,129,F,54.6,2.8,2.8,2.9,2.5,0.4,104.1,99.5,27,51.4,55.4,3.4,19.2,13.4,14.1,0.9,3.5,1.4,34.5,3.4,0.631,0.748,0.51,29.5,6.9,0.35
Sr,6-6,Nique Clifford,Colorado St.,MWC,138,F,68.1,2.8,3.8,5.9,2.7,3.1,106.1,92.2,22,53.7,56.5,5,22.1,18.8,18.6,1.4,2.7,2,29.3,3.3,0.646,0.724,0.533,35,6.4,0.364
Jr,6-7,Harrison Ingram,North Carolina,ACC,102,F,76.4,2.8,3.6,5,3.2,1.8,105.2,95.7,21.9,47.9,50.1,7.9,19,18.8,16.7,1.5,1.4,2,29.8,2.4,0.518,0.624,0.454,40.1,7.4,0.345
Jr,6-7,Khris Middleton,Texas A&M,B12,84,F,56.8,2.8,3.3,6.4,4.3,2.1,104.8,90.8,25.1,49.1,53.7,7,13.8,18.3,19,1,0.8,2.4,36.2,3.3,0.629,0.766,0.491,36,7.7,0.328
Sr,6-7,Jamison Battle,Ohio St.,B10,138,F,81.4,2.7,2.9,1.7,2.6,-0.9,105.4,103.9,20.6,53.7,56.4,1.9,15.2,6.8,12.8,0.7,1.1,0.8,18.5,2.2,0.633,0.833,0.514,57.5,11.8,0.369
Jr,6-8,Hollis Thompson,Georgetown,BE,98,F,60.9,2.7,3.1,5.8,3.9,1.9,115.4,91.4,17.3,57.8,59.2,5.8,13.9,8.7,15.7,1,1.9,2,27.1,3.7,0.616,0.673,0.509,45.1,7.4,0.441
Sr,6-6,Jared Rhoden,Seton Hall,BE,121,F,63.5,2.7,3.5,4,2.3,1.7,104.7,92.1,21.1,46.3,50.8,5.6,17.5,8.5,12.3,1,1.6,2.2,32.7,3,0.558,0.756,0.459,36.5,7.2,0.312
Sr,6-6,Seth Lundy,Penn St.,B10,122,F,63.2,2.7,3.1,4,2.9,1.1,108.1,95.7,20.6,52.3,55.8,4,16.5,5.6,12.8,0.8,2.4,1.6,24.7,3.3,0.571,0.814,0.48,60.5,12,0.368
So,6-7,Justin Lewis,Marquette,BE,53,F,61.9,2.7,3.4,2.9,2.4,0.5,99.5,93.1,25.4,48.9,51.9,6.4,20.3,10,13.9,0.8,2.4,1.7,28.8,3,0.592,0.704,0.487,33.3,7.6,0.328
Sr,6-7,Alex Ducas,Saint Mary's,WCC,146,F,58.8,2.7,3.5,5.4,3.5,1.9,116.6,92.6,16.9,56.3,58.4,4.1,15.2,7.2,13.9,1.1,0.8,1.7,16.8,2.1,0.565,0.826,0.483,63.9,10.9,0.406
Sr,6-11,Sandro Mamukelashvili,Seton Hall,BE,115,F,55.8,2.7,3.3,4.3,2.8,1.5,106.3,94.5,21.4,51.7,54.2,7.8,18.3,13.6,17,1,3.3,1.4,34.3,3.4,0.583,0.663,0.521,34,6.1,0.339
Sr,6-9,Brandon Davies,BYU,WCC,130,F,56.2,2.6,3.3,3.7,1.5,2.2,104.2,89.3,26.5,52,55.9,8.5,19.6,13,18.4,0.8,3.9,2.3,60.6,5,0.72,0.657,0.522,1.5,0.3,0.294
Jr,6-7,Troy Williams,Indiana,B10,99,F,61.3,2.6,3,4.9,3,1.9,107.5,94.6,23.8,54.6,58.1,8.2,18.9,12.8,22,0.7,2.3,2.3,45.4,3.1,0.647,0.705,0.557,14.8,2.7,0.325
Sr,6-7,Jalen Jones,Texas A&M,SEC,125,F,65.2,2.6,3.2,2.1,1.7,0.4,104.1,94.2,25.2,48,52.9,9.6,17.3,6.6,14.9,0.5,2.3,1.9,52.9,4,0.601,0.698,0.483,16.7,3.5,0.312
Jr,6-7,Tyler Bey,Colorado,P12,99,F,61.4,2.6,3.7,5.7,2.4,3.3,108,86.9,22.9,54.1,59.1,9.1,27.7,7.6,18.8,0.5,4.4,2.3,54.4,3.6,0.663,0.747,0.549,8,1.4,0.3
Sr,6-9,Jake Layman,Maryland,B10,140,F,69.8,2.6,3.6,5.6,3.1,2.5,110.2,92.9,18.5,53.6,57.2,5,14.1,8.1,16.7,0.8,3.1,1.9,32.7,2.8,0.693,0.762,0.528,50.6,8.3,0.363
Fr,6-8,Cody Williams,Colorado,P12,24,F,45.2,2.6,2.9,2.9,2,1,109.4,99.9,20.1,59.5,62,3.3,9.2,10.4,20.5,0.8,2.4,1.3,39.7,2.8,0.736,0.714,0.588,21.1,3.5,0.415
Jr,6-8,Olivier-Maxence Prosper,Marquette,BE,68,F,62.1,2.5,2.8,1.9,1.4,0.5,111.4,97.1,18.4,55.7,59.8,5.6,12.7,5.5,14.5,0.7,0.5,2,43.3,3.5,0.664,0.756,0.594,38.2,5.9,0.331
Sr,6-9,Drew Peterson,USC,P12,160,F,72.6,2.5,3.3,3.2,2.1,1,104.1,98.2,20.5,50,53.5,3.9,15.9,19.7,19.9,1.5,1.6,1.5,31.5,2.3,0.584,0.753,0.474,40,6.6,0.359
Sr,6-5,DaQuan Jeffries,Tulsa,Amer,83,F,53.1,2.5,2.6,5.1,3,2.2,117.3,98.7,19.4,59.7,62.8,7.1,15.6,10.9,16.1,1,5.2,1.9,35.8,4.7,0.724,0.769,0.617,37.8,6.1,0.376
Sr,6-7,Cameron McGriff,Oklahoma St.,B12,131,F,63.7,2.5,3.1,2.9,2,1,107.3,96.9,19.6,48,54.7,8.4,16.2,8.7,18,0.8,2.1,1.6,51.8,3.7,0.593,0.807,0.483,33.1,5.1,0.314
Sr,6-8,Darius Miller,Kentucky,SEC,152,F,62.1,2.5,3.1,5.6,2.9,2.7,112.7,91.7,17,53.7,56.9,4.8,9.3,13.2,19.4,1.3,2.6,1.8,23.3,3.7,0.706,0.815,0.511,46.8,7.2,0.378
Fr,6-9,Louis King,Oregon,P12,32,F,61.8,2.5,3.8,3.6,2.5,1.1,103.9,92.4,23.7,52.2,55.2,5.4,16,9,17.5,0.6,1,1.7,23.2,3.3,0.578,0.785,0.476,45,9.9,0.386
Sr,6-10,Dwight Powell,Stanford,P12,136,F,64.2,2.5,3.5,4.3,1.5,2.8,101.6,90.1,24.1,47.9,53.3,7.4,20.6,14.6,19.6,0.8,3.5,2.1,50.6,4.4,0.638,0.722,0.484,10.3,1.9,0.289
Sr,6-10,Travis Wear,UCLA,P12,127,F,49.7,2.5,2.7,2.5,1.6,0.9,112.6,95.9,18,51.6,55.2,8.3,12.3,5.3,12.1,1.3,3.5,1.6,25.4,4.2,0.691,0.795,0.511,6,1,0.4
Sr,6-6,Tyrese Martin,Connecticut,BE,114,F,72.8,2.4,3.5,3.1,2.3,0.8,104.8,94.8,19.5,49.8,52,8,16.3,8.3,16.1,0.8,1.4,1.8,25,2.8,0.588,0.67,0.486,36,6.5,0.346
Jr,6-8,Feron Hunt,SMU,Amer,78,F,64.4,2.4,2.8,3.1,2.3,0.8,110.9,97.3,18.3,58.2,60.5,8.9,20.8,6.1,19.6,0.5,3.9,1.9,31.5,2.8,0.692,0.724,0.633,20,3.1,0.25
Jr,6-6,Miye Oni,Yale,Ivy,85,F,74.7,2.4,3,2,1.7,0.3,103.2,102.3,25.4,50.8,54.4,3,18.7,19.9,18.4,1.3,3.4,1.5,28.4,3.6,0.602,0.777,0.488,47.1,10.2,0.353
Sr,6-7,Coty Clarke,Arkansas,SEC,65,F,52,2.4,2.9,6.6,3,3.6,114.4,88.2,20.4,51.3,57.5,8.8,18.8,15.6,16.4,1.4,2.9,3.8,55.1,5.5,0.644,0.777,0.476,19.9,3.1,0.442
Fr,6-7,Kelly Oubre,Kansas,B12,36,F,52.3,2.3,3.1,7.7,4.1,3.5,108.7,85.4,22,51.2,55.5,6.4,19.2,8.1,15.4,0.7,1.8,3.3,44.4,3.8,0.623,0.718,0.497,38.3,7.5,0.358
Sr,6-9,Dennis Horner,N.C. State,ACC,92,F,50,2.3,2.4,4.5,3,1.5,110.8,97.4,18.6,51.6,56.2,5.9,11.3,10.8,15.5,1.2,2.6,1.8,39.5,3.2,0.634,0.768,0.525,36.3,5.9,0.333
Sr,6-5,Chaundee Brown Jr.,Michigan,B10,112,F,56.5,2.3,2.3,2.6,2.7,-0.1,107.6,101.8,20,50.5,54.1,5.7,13.9,9.4,14.8,0.9,0.8,0.9,23.7,2.8,0.604,0.812,0.49,39.7,7.6,0.353
So,6-7,Robert Woodard II,Mississippi St.,SEC,65,F,62.1,2.3,3,4.9,3.5,1.4,110.1,96.3,17.4,53.4,54.8,8.7,16.1,7.6,16.6,0.9,3.3,1.9,29.8,2.4,0.686,0.617,0.527,26.5,4.1,0.368
Sr,6-6,Carrick Felix,Arizona St.,P12,94,F,67.2,2.3,3.1,2.5,1.7,0.8,102.6,97.5,20.4,52.2,55.2,5.9,13.9,10.4,18.5,0.8,3.1,2.2,33.2,3.4,0.644,0.704,0.545,40.6,7,0.326
Fr,6-8,Julian Phillips,Tennessee,SEC,32,F,53.2,2.3,3.6,4.5,1.3,3.2,110.4,86.3,19.5,44,53.6,8.4,13.9,11.4,16.7,1.1,2.9,1.6,61.5,2.9,0.589,0.822,0.466,24,3.6,0.239
Jr,6-9,Jacob Toppin,Kentucky,SEC,116,F,50.9,2.2,2.6,3.5,2,1.5,111.7,95.4,17.6,49.9,53.2,6.9,16.2,10,13.5,1.3,2.1,1.1,35.7,3.2,0.696,0.695,0.514,19.4,3.1,0.289
Jr,6-5,Glen Rice,Georgia Tech,ACC,86,F,54.8,2.2,3.2,6.2,3.6,2.6,101.9,91.2,23,49.7,51.5,7.5,15.1,18.7,19.5,1.1,2.4,3,29.2,3.6,0.645,0.611,0.49,39.7,7.9,0.339
Sr,6-7,Jamal Cain,Oakland,Horz,150,F,50.7,2.2,2.8,3.1,1.8,1.3,106.9,95.7,18.9,54.2,57,7.6,19.7,6,18.2,0.6,1.8,2.4,24.6,3.6,0.631,0.756,0.551,36.4,6.1,0.351
Sr,6-7,Keshad Johnson,Arizona,P12,146,F,44.4,2.2,3.1,5.5,2.6,2.9,113.1,89.6,17.7,56.2,58.4,7.9,16.9,8.6,15.6,1,2.9,1.7,43.3,2.7,0.698,0.64,0.596,27.1,3.9,0.314
Sr,6-5,Deonte Burton,Iowa St.,B12,101,F,37.7,2.2,3.1,5.3,2.4,2.9,102.6,89.9,26.6,51.8,54.2,6.4,15.2,10.4,15.9,0.7,4.1,3.7,31.8,4.8,0.644,0.664,0.496,19.9,4.7,0.405
