PLAYER_ID,PLAYER_NAME,SEASON,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,BENCH_PRESS,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,MODIFIED_LANE_AGILITY_TIME
201622,Deron Washington,2008,SF,77.25,6' 5.25'',78.25,6' 6.25'',198.5,81.0,6' 9'',102.5,8' 6.5'',7.2,,,7,34.0,40.0,11.03,3.09,
201603,Sonny Weems,2008,SG-SF,76.0,6' 4'',77.5,6' 5.5'',193,82.0,6' 10'',104.0,8' 8'',4.4,,,12,29.0,36.5,10.58,2.96,
201566,Russell Westbrook,2008,PG,74.25,6' 2.25'',75.5,6' 3.5'',192,79.75,6' 7.75'',100.0,8' 4'',4.8,,,12,30.0,36.5,10.98,3.08,
199,Reggie Williams,2008,SG,75.25,6' 3.25'',76.0,6' 4'',199,81.25,6' 9.25'',103.0,8' 7'',5.3,,,15,31.5,36.5,11.32,3.07,
202399,Jeff Adrien,2009,PF,77.25,6' 5.25'',78.5,6' 6.5'',236.2,86.0,7' 2'',107.5,8' 11.5'',7.9,,,16,27.5,31.5,11.34,3.32,
201965,Jeff Ayres,2009,PF,80.75,6' 8.75'',82.0,6' 10'',239.6,85.0,7' 1'',107.0,8' 11'',5.5,,,15,31.0,35.0,11.98,3.14,
201958,Rodrigue Beaubois,2009,PG,73.25,6' 1.25'',74.25,6' 2.25'',182.4,81.75,6' 9.75'',100.0,8' 4'',7.9,,,3,29.5,39.0,10.49,3.15,
201971,DeJuan Blair,2009,PF,77.25,6' 5.25'',78.5,6' 6.5'',276.6,86.0,7' 2'',106.5,8' 10.5'',12.0,,,18,26.0,33.0,11.5,3.45,
201974,Derrick Brown,2009,SF-PF,79.5,6' 7.5'',80.5,6' 8.5'',224.6,86.5,7' 2.5'',107.5,8' 11.5'',8.6,,,20,30.5,35.5,11.26,3.13,
201978,Chase Budinger,2009,SF-SG,78.25,6' 6.25'',79.0,6' 7'',206.4,79.0,6' 7'',101.0,8' 5'',10.0,,,10,29.5,38.5,11.08,3.24,
201960,DeMarre Carroll,2009,PF-SF,78.25,6' 6.25'',79.75,6' 7.75'',207.2,82.0,6' 10'',105.0,8' 9'',6.3,,,,,,,,
201956,Omri Casspi,2009,SF,79.75,6' 7.75'',81.25,6' 9.25'',211.2,81.25,6' 9.25'',106.5,8' 10.5'',8.6,,,2,25.5,32.5,11.15,3.28,
12275,Dionte Christmas,2009,SG,76.25,6' 4.25'',77.5,6' 5.5'',210.8,81.0,6' 9'',102.5,8' 6.5'',7.1,,,3,27.0,33.5,10.83,3.21,
201947,Earl Clark,2009,SF-PF,80.5,6' 8.5'',82.25,6' 10.25'',228.4,86.5,7' 2.5'',109.5,9' 1.5'',5.2,,,5,28.5,33.0,11.17,3.35,
201954,Darren Collison,2009,PG,72.25,6' 0.25'',73.5,6' 1.5'',166.2,75.0,6' 3'',96.5,8' 0.5'',5.7,,,9,30.5,33.5,10.45,3.1,
201967,Dante Cunningham,2009,PF,79.0,6' 7'',80.25,6' 8.25'',227.4,83.0,6' 11'',106.5,8' 10.5'',4.8,,,18,28.0,35.0,11.18,3.26,
201939,Stephen Curry,2009,PG-SG,74.0,6' 2'',75.25,6' 3.25'',181,75.5,6' 3.5'',97.0,8' 1'',5.7,,,10,29.5,35.5,11.07,3.28,
201948,Austin Daye,2009,SF-PF,81.75,6' 9.75'',82.75,6' 10.75'',191.8,86.75,7' 2.75'',110.0,9' 2'',5.5,,,0,25.0,28.0,12.11,3.55,
201942,DeMar DeRozan,2009,SG-SF,77.5,6' 5.5'',78.5,6' 6.5'',211.2,81.0,6' 9'',102.5,8' 6.5'',4.9,,,5,29.0,38.5,11.88,3.31,
201962,Toney Douglas,2009,PG,73.0,6' 1'',74.0,6' 2'',183.4,78.0,6' 6'',97.5,8' 1.5'',5.2,,,15,28.0,32.5,10.63,3.03,
