Player_lower,Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,RimFG%,RimAst%,MidFG%,MidAst%,ThreeFG%,ThreeAst%,DunkFG%,DunkAst%
charles bassey,Charles Bassey,303,92,213,101,144,58,29,61,25,131,13,115,76.70886075949367,41.27906976744186,41.224489795918366,36.477987421383645,32.22222222222222,46.2962962962963,90.97222222222221,46.7479674796748
charles jenkins,Charles Jenkins,179,93,44,161,244,36,122,176,95,2,0,1,65.80882352941177,19.730941704035875,39.75308641975309,18.274111675126903,40.939597315436245,43.77880184331797,100.0,33.33333333333333
chaz lanier,Chaz Lanier,162,81,56,106,169,39,262,391,208,46,5,27,66.66666666666666,25.688073394495415,38.54545454545455,26.89655172413793,40.12251148545176,44.25531914893617,90.19607843137256,36.986301369863014
cheick diallo,Cheick Diallo,17,6,13,16,19,9,0,0,0,11,2,9,73.91304347826086,43.333333333333336,45.714285714285715,36.0,0.0,0.0,84.61538461538461,45.0
chet holmgren,Chet Holmgren,105,20,55,24,26,5,41,64,32,57,0,39,84.0,34.375,48.0,17.24137931034483,39.04761904761905,43.83561643835616,100.0,40.625
chimezie metu,Chimezie Metu,311,160,205,171,245,65,13,30,10,202,34,159,66.02972399150742,39.72868217054263,41.105769230769226,27.54237288135593,30.23255813953488,43.47826086956522,85.59322033898306,44.04432132963989
chinanu onuaku,Chinanu Onuaku,121,40,78,61,70,20,0,1,0,48,3,37,75.15527950310559,39.19597989949749,46.56488549618321,24.691358024691358,0.0,0.0,94.11764705882352,43.529411764705884
chris duarte,Chris Duarte,126,74,45,52,69,8,108,176,77,25,2,12,63.0,26.31578947368421,42.97520661157025,13.333333333333334,38.028169014084504,41.62162162162162,92.5925925925926,32.432432432432435
chris livingston,Chris Livingston,47,26,28,14,38,4,18,41,18,11,0,7,64.38356164383562,37.333333333333336,26.923076923076923,22.22222222222222,30.508474576271187,50.0,100.0,38.88888888888889
chris mccullough,Chris McCullough,35,24,19,19,36,13,1,0,1,11,3,9,59.32203389830508,35.18518518518518,34.54545454545455,40.625,100.0,50.0,78.57142857142857,45.0
