Player,RimMade,RimMiss,RimAst,MidMade,MidMiss,MidAst,ThreeMade,ThreeMiss,ThreeAst,DunkMade,DunkMiss,DunkAst,ND_RimMade,ND_RimMiss,ND_RimAtt,NonDunk_Rim%,NonDunk_Assisted%,RimAtt,Total_Rim%,Total_Assisted_Rim%,Mid_Att,Mid_FG%,Mid_Assisted%,TwoPt_Att,TwoPt_FG%,TwoPt_Assisted%,Three_Att,Three_FG%,Three_Assisted%,Total_Assisted%,Total_Att,Rim_Freq,Mid_Freq,Three_Freq,TwoPt_Freq,player_lower
Deandre Ayton,185,44,109,79,108,47,12,23,11,87,2,63,98,42,140,0.7,0.46938775510204084,229,0.8078602620087336,0.5891891891891892,187,0.42245989304812837,0.5949367088607594,416,0.6346153846153846,0.5909090909090909,35,0.34285714285714286,0.9166666666666666,0.605072463768116,451,0.5077605321507761,0.4146341463414634,0.07760532150776053,0.9223946784922394,deandre ayton
Dejon Jarreau,184,133,36,55,120,6,41,122,30,17,2,6,167,131,298,0.5604026845637584,0.17964071856287425,317,0.580441640378549,0.1956521739130435,175,0.3142857142857143,0.10909090909090909,492,0.48577235772357724,0.17573221757322174,163,0.25153374233128833,0.7317073170731707,0.2571428571428571,655,0.48396946564885496,0.26717557251908397,0.24885496183206107,0.751145038167939,dejon jarreau
Dejounte Murray,100,66,30,68,133,12,34,84,32,14,3,11,86,63,149,0.5771812080536913,0.22093023255813954,166,0.6024096385542169,0.3,201,0.3383084577114428,0.17647058823529413,367,0.45776566757493187,0.25,118,0.288135593220339,0.9411764705882353,0.36633663366336633,485,0.3422680412371134,0.4144329896907217,0.24329896907216494,0.756701030927835,dejounte murray
Delon Wright,229,101,50,58,103,2,38,88,22,32,2,13,197,99,296,0.6655405405405406,0.18781725888324874,330,0.693939393939394,0.2183406113537118,161,0.36024844720496896,0.034482758620689655,491,0.5845213849287169,0.18118466898954705,126,0.30158730158730157,0.5789473684210527,0.2276923076923077,617,0.5348460291734197,0.26094003241491087,0.20421393841166938,0.7957860615883307,delon wright
Demetrius Jackson,205,135,48,77,122,5,133,216,79,32,1,11,173,134,307,0.5635179153094463,0.2138728323699422,340,0.6029411764705882,0.23414634146341465,199,0.3869346733668342,0.06493506493506493,539,0.5231910946196661,0.1879432624113475,349,0.38108882521489973,0.5939849624060151,0.3180722891566265,888,0.38288288288288286,0.22409909909909909,0.393018018018018,0.6069819819819819,demetrius jackson
Deng Adel,142,76,50,107,186,19,101,188,85,24,5,15,118,71,189,0.6243386243386243,0.2966101694915254,218,0.6513761467889908,0.352112676056338,293,0.3651877133105802,0.17757009345794392,511,0.487279843444227,0.27710843373493976,289,0.3494809688581315,0.8415841584158416,0.44,800,0.2725,0.36625,0.36125,0.63875,deng adel
Dennis Horner,71,41,32,49,63,34,31,63,30,5,0,3,66,41,107,0.616822429906542,0.4393939393939394,112,0.6339285714285714,0.4507042253521127,112,0.4375,0.6938775510204082,224,0.5357142857142857,0.55,94,0.32978723404255317,0.967741935483871,0.6357615894039735,318,0.3522012578616352,0.3522012578616352,0.29559748427672955,0.7044025157232704,dennis horner
"Dennis Smith, Jr.",103,58,16,33,74,1,55,97,23,22,0,5,81,58,139,0.5827338129496403,0.13580246913580246,161,0.639751552795031,0.1553398058252427,107,0.308411214953271,0.030303030303030304,268,0.5074626865671642,0.125,152,0.3618421052631579,0.41818181818181815,0.2094240837696335,420,0.38333333333333336,0.25476190476190474,0.3619047619047619,0.638095238095238,"dennis smith, jr."
Denzel Valentine,143,88,65,169,253,51,265,386,225,16,8,12,127,80,207,0.6135265700483091,0.41732283464566927,231,0.6190476190476191,0.45454545454545453,422,0.4004739336492891,0.30177514792899407,653,0.4777947932618683,0.3717948717948718,651,0.40706605222734255,0.8490566037735849,0.5909878682842288,1304,0.17714723926380369,0.3236196319018405,0.49923312883435583,0.5007668711656442,denzel valentine
Deonte Burton,480,276,129,313,529,68,251,458,152,69,13,38,411,263,674,0.6097922848664689,0.22141119221411193,756,0.6349206349206349,0.26875,842,0.37173396674584325,0.21725239616613418,1598,0.49624530663329164,0.2484237074401009,709,0.3540197461212976,0.6055776892430279,0.3342911877394636,2307,0.32769830949284784,0.364976159514521,0.3073255309926311,0.6926744690073688,deonte burton
Dereck Lively II,74,22,55,1,7,1,2,11,2,54,1,44,20,21,41,0.4878048780487805,0.55,96,0.7708333333333334,0.7432432432432432,8,0.125,1.0,104,0.7211538461538461,0.7466666666666667,13,0.15384615384615385,1.0,0.7532467532467533,117,0.8205128205128205,0.06837606837606838,0.1111111111111111,0.8888888888888888,dereck lively ii
Dereon Seabron,218,173,66,16,38,1,16,47,13,48,1,31,170,172,342,0.49707602339181284,0.20588235294117646,391,0.5575447570332481,0.30275229357798167,54,0.2962962962962963,0.0625,445,0.5258426966292135,0.2863247863247863,63,0.25396825396825395,0.8125,0.32,508,0.7696850393700787,0.1062992125984252,0.12401574803149606,0.8759842519685039,dereon seabron
